normalized_card_name,normalized_move_name,distinct_damage_values,damage_values,total_source_records,total_unique_source_files,maximum_source_priority,damage_conflict
Bulbasaur,0.0,4,"[1.0, 3.0, 30.0, 46.0]",13,13,-2,True
Bulbasaur,0.1,3,"[1.0, 2.0, 30.0]",13,13,-2,True
Bulbasaur,0.12,3,"[1.0, 2.0, 30.0]",13,13,-2,True
Bulbasaur,0.12 0.1 0. 0. 0. 0. 0. 0.52,3,"[1.0, 2.0, 30.0]",16,13,-2,True
Bulbasaur,0.12 0.1 1. 0. 0. 0. 0. 1.52,3,"[1.0, 2.0, 28.0]",16,13,-2,True
Bulbasaur,0.2,4,"[1.0, 3.0, 30.0, 46.0]",13,13,-2,True
Bulbasaur,0.28,4,"[1.0, 3.0, 30.0, 46.0]",13,13,-2,True
Bulbasaur,0.28 0.2 0. 0. 0. 0. 0. 0.73,3,"[1.0, 2.0, 30.0]",16,13,-2,True
Bulbasaur,0.28 0.2 1. 0. 0. 0. 0. 1.73,3,"[1.0, 2.0, 46.0]",16,13,-2,True
Bulbasaur,0.52,3,"[1.0, 2.0, 30.0]",13,13,-2,True
Bulbasaur,0.73,3,"[1.0, 2.0, 30.0]",13,13,-2,True
Bulbasaur,1,4,"[1.0, 2.0, 10.0, 30.0]",9,9,-5,True
Bulbasaur,1.0,3,"[1.0, 3.0, 46.0]",11,11,-5,True
Bulbasaur,1.52,3,"[1.0, 2.0, 28.0]",13,13,-2,True
Bulbasaur,1.73,3,"[1.0, 2.0, 46.0]",13,13,-2,True
Bulbasaur,151,1,[103.0],1,1,-5,False
Bulbasaur,2,4,"[2.0, 3.0, 30.0, 70.0]",9,9,-2,True
Bulbasaur,21,2,"[1.0, 46.0]",7,7,-2,True
Bulbasaur,32,2,"[1.0, 8.0]",8,8,-2,True
Bulbasaur,39,1,[46.0],1,1,-2,False
Bulbasaur,8,2,"[1.0, 28.0]",8,8,-2,True
Bulbasaur,81,2,"[1.0, 4.0]",7,7,-2,True
Bulbasaur,Bind Down,3,"[1.0, 2.0, 10.0]",8,8,-5,True
Bulbasaur,Bite,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,Flame Tail,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,Fury Swipes,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,Pass,2,"[0.0, 2.0]",7,7,-5,True
Bulbasaur,Quick Attack,3,"[0.0, 3.0, 20.0]",7,7,-5,True
Bulbasaur,Scratch,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,Tackle,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,Tail Whap,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,Thunderbolt,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,Water Pulse,2,"[0.0, 2.0]",8,8,-2,True
Bulbasaur,[0.12 0.1 0. 0. 0. 0. 0. 0.52],1,[30.0],1,1,10,False
Bulbasaur,[0.12 0.1 1. 0. 0. 0. 0. 1.52],1,[28.0],1,1,10,False
Bulbasaur,"[0.12, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.52]",1,[30.0],1,1,10,False
Bulbasaur,"[0.12, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.52]",1,[28.0],1,1,10,False
