source_file,file_name,rows,columns,authority_score,excluded_generated_source,card_id_column,card_name_column,expansion_column,move_column,damage_column,effect_column,explicit_card_schema,exact_tournament_card_matches,candidate_authoritative_source
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\JP_Card_Data.csv,JP_Card_Data.csv,2022,17,14,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\EN_Card_Data.csv,EN_Card_Data.csv,2022,17,14,False,,,Expansion,,Damage,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\raw\kaggle_sample_submission\deck.csv,deck.csv,59,1,11,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\processed\pokemon_cards_processed.csv,pokemon_cards_processed.csv,2022,43,10,False,,,Expansion,,Damage,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\tournaments\competitive_policy_baseline_tournament.csv,competitive_policy_baseline_tournament.csv,300,17,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\tournaments\competitive_policy_elo_history.csv,competitive_policy_elo_history.csv,300,8,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\submission_work\official_sample_extracted\deck.csv,deck.csv,59,1,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\submission_work\team_jesus_baseline\deck.csv,deck.csv,59,1,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\submission_work\team_jesus_notebook23\package\data\deck.csv,deck.csv,59,1,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\submission_work\notebook24_extracted\data\deck.csv,deck.csv,59,1,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\submission_work\notebook24_extracted\manifest.json,manifest.json,4,6,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\submission_work\team_jesus_notebook23\package\manifest.json,manifest.json,4,6,1,False,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section3\section3b_discovered_move_records.csv,section3b_discovered_move_records.csv,14599,6,-100,True,,card_name,,move_name,damage,,True,1264,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_tournament_card_move_records.csv,section4a_tournament_card_move_records.csv,1264,14,-100,True,,card_name,,move_name,damage,,True,1264,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_simulator_supported_move_records.csv,section4a_simulator_supported_move_records.csv,1069,15,-100,True,,card_name,,move_name,damage,,True,1069,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\section5b_expanded_turn_results.csv,section5b_expanded_turn_results.csv,210,14,-100,True,,pokemon_name,,move_name,damage,,True,210,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6e_tournament_replay_turns.csv,section6e_tournament_replay_turns.csv,210,14,-100,True,,pokemon_name,,move_name,damage,,True,210,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_preferred_move_catalog.csv,section4a_preferred_move_catalog.csv,151,15,-100,True,,card_name,,move_name,damage,,True,151,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4j_upstream_identifier_evidence.csv,section4j_upstream_identifier_evidence.csv,124,8,-100,True,card_id,card_name,,,,,False,124,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4e_tournament_card_text_references.csv,section4e_tournament_card_text_references.csv,122,6,-100,True,,card_name,,,,,False,122,False
