notebook_path,notebook_name,card_hits,reference_term_hits,card_hit_count,reference_term_count,combined_score
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\54_tournament_strength_optimization_FULL_BACKUP.ipynb,54_tournament_strength_optimization_FULL_BACKUP.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""card_id"", ""card image"", ""image_path"", ""expansion"", ""set_name"", ""reference"", ""dataset"", ""kaggle""]",4,8,20
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\54_tournament_strength_optimization.ipynb,54_tournament_strength_optimization.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""card_id"", ""card image"", ""image_path"", ""expansion"", ""set_name"", ""reference"", ""dataset"", ""kaggle""]",4,8,20
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\54_tournament_strength_optimization_BACKUP.ipynb,54_tournament_strength_optimization_BACKUP.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""card_id"", ""card image"", ""image_path"", ""expansion"", ""set_name"", ""reference"", ""dataset"", ""kaggle""]",4,8,20
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\54_tournament_strength_optimization_clean.ipynb,54_tournament_strength_optimization_clean.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""card_id"", ""card image"", ""image_path"", ""expansion"", ""set_name"", ""reference"", ""dataset"", ""kaggle""]",4,8,20
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\49_side_balanced_search_guided_self_play.ipynb,49_side_balanced_search_guided_self_play.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""card_id"", ""reference"", ""dataset"", ""kaggle""]",4,4,16
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\46_competitive_policy_upgrade.ipynb,46_competitive_policy_upgrade.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""dataset"", ""kaggle""]",4,2,14
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\48_tournament_evaluation_and_elo_benchmarking.ipynb,48_tournament_evaluation_and_elo_benchmarking.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""dataset"", ""kaggle""]",4,2,14
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\47_competitive_policy_training.ipynb,47_competitive_policy_training.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""dataset"", ""kaggle""]",4,2,14
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\53_legality_aware_policy_optimization.ipynb,53_legality_aware_policy_optimization.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""dataset"", ""kaggle""]",4,2,14
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\50_side_balanced_policy_fine_tuning.ipynb,50_side_balanced_policy_fine_tuning.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""dataset"", ""kaggle""]",4,2,14
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\52_tournament_policy_evaluation.ipynb,52_tournament_policy_evaluation.ipynb,"[""Bulbasaur"", ""Charmander"", ""Eevee"", ""Meowth""]","[""expansion"", ""kaggle""]",4,2,14
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\51_policy_simulator_integration.ipynb,51_policy_simulator_integration.ipynb,"[""Bulbasaur"", ""Eevee""]","[""reference"", ""dataset"", ""kaggle""]",2,3,9
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\02_compare_english_japanese_datasets.ipynb,02_compare_english_japanese_datasets.ipynb,"[""Eevee""]","[""expansion"", ""reference"", ""dataset"", ""kaggle""]",1,4,7
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\05_deck_builder.ipynb,05_deck_builder.ipynb,"[""Eevee""]","[""card_id"", ""expansion"", ""dataset"", ""kaggle""]",1,4,7
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\04_card_knowledge_base.ipynb,04_card_knowledge_base.ipynb,"[""Bulbasaur""]","[""card_id"", ""expansion"", ""dataset"", ""kaggle""]",1,4,7
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\08_ai_decision_agent.ipynb,08_ai_decision_agent.ipynb,"[""Eevee""]","[""card_id"", ""reference"", ""kaggle""]",1,3,6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\34_policy_dataset_generation.ipynb,34_policy_dataset_generation.ipynb,"[""Eevee""]","[""set_name"", ""dataset"", ""kaggle""]",1,3,6
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\28_self_play_training_pipeline.ipynb,28_self_play_training_pipeline.ipynb,"[""Eevee""]","[""dataset"", ""kaggle""]",1,2,5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\32_mixed_opponent_self_play_benchmarks.ipynb,32_mixed_opponent_self_play_benchmarks.ipynb,"[""Eevee""]","[""dataset"", ""kaggle""]",1,2,5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\29_replay_dataset_analysis_opponent_diversity.ipynb,29_replay_dataset_analysis_opponent_diversity.ipynb,"[""Eevee""]","[""dataset"", ""kaggle""]",1,2,5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\07_battle_engine.ipynb,07_battle_engine.ipynb,"[""Eevee""]","[""card_id"", ""kaggle""]",1,2,5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\35_policy_dataset_enrichment.ipynb,35_policy_dataset_enrichment.ipynb,"[""Eevee""]","[""dataset"", ""kaggle""]",1,2,5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\33_Production_Observation_Pipeline.ipynb,33_Production_Observation_Pipeline.ipynb,"[""Eevee""]","[""dataset"", ""kaggle""]",1,2,5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\45_final_simulator_integration_and_submission.ipynb,45_final_simulator_integration_and_submission.ipynb,"[""Charmander""]","[""dataset"", ""kaggle""]",1,2,5
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\09_strategic_battle_ai.ipynb,09_strategic_battle_ai.ipynb,"[""Eevee""]","[""kaggle""]",1,1,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\10_minimax_opponent_ai.ipynb,10_minimax_opponent_ai.ipynb,"[""Eevee""]","[""kaggle""]",1,1,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\12_integrated_battle_agent.ipynb,12_integrated_battle_agent.ipynb,"[""Eevee""]","[""kaggle""]",1,1,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\06_pdf_reference_validation.ipynb,06_pdf_reference_validation.ipynb,[],"[""card_id"", ""reference"", ""dataset"", ""kaggle""]",0,4,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\27_full_game_simulation.ipynb,27_full_game_simulation.ipynb,"[""Eevee""]","[""kaggle""]",1,1,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\14_tournament_manager_leaderboard.ipynb,14_tournament_manager_leaderboard.ipynb,"[""Eevee""]","[""kaggle""]",1,1,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\13_tournament_self_play_evaluation.ipynb,13_tournament_self_play_evaluation.ipynb,"[""Eevee""]","[""kaggle""]",1,1,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\15_integrated_ai_evaluation.ipynb,15_integrated_ai_evaluation.ipynb,"[""Eevee""]","[""kaggle""]",1,1,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\16_kaggle_submission_compatibility.ipynb,16_kaggle_submission_compatibility.ipynb,[],"[""card_id"", ""reference"", ""dataset"", ""kaggle""]",0,4,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\17_official_card_knowledge_base.ipynb,17_official_card_knowledge_base.ipynb,[],"[""card_id"", ""expansion"", ""dataset"", ""kaggle""]",0,4,4
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\11_advanced_search_engine.ipynb,11_advanced_search_engine.ipynb,"[""Eevee""]",[],1,0,3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\01_dataset_exploration.ipynb,01_dataset_exploration.ipynb,[],"[""expansion"", ""dataset"", ""kaggle""]",0,3,3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\03_feature_engineering.ipynb,03_feature_engineering.ipynb,[],"[""expansion"", ""dataset"", ""kaggle""]",0,3,3
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\21_kaggle_battle_agent.ipynb,21_kaggle_battle_agent.ipynb,[],"[""card_id"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\20_policy_engine.ipynb,20_policy_engine.ipynb,[],"[""card_id"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\19_battle_feature_extraction.ipynb,19_battle_feature_extraction.ipynb,[],"[""card_id"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\18_kaggle_observation_adapter.ipynb,18_kaggle_observation_adapter.ipynb,[],"[""card_id"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\37_production_training_dataset_builder.ipynb,37_production_training_dataset_builder.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\41_ppo_actor_critic_network.ipynb,41_ppo_actor_critic_network.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\24_final_submission_validation.ipynb,24_final_submission_validation.ipynb,[],"[""card_id"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\22_end_to_end_agent_integration.ipynb,22_end_to_end_agent_integration.ipynb,[],"[""card_id"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\26_production_agent_benchmark.ipynb,26_production_agent_benchmark.ipynb,[],"[""card_id"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\36_production_training_dataset_builder.ipynb,36_production_training_dataset_builder.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\30_opponent_framework_multi_agent_architecture.ipynb,30_opponent_framework_multi_agent_architecture.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\38_production_replay_adapter.ipynb,38_production_replay_adapter.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\44_ppo_self_play_benchmark.ipynb,44_ppo_self_play_benchmark.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\43_ppo_policy_evaluation.ipynb,43_ppo_policy_evaluation.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\39_production_dataset_loader.ipynb,39_production_dataset_loader.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\40_ppo_dataset_interface.ipynb,40_ppo_dataset_interface.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\42_ppo_training_loop.ipynb,42_ppo_training_loop.ipynb,[],"[""dataset"", ""kaggle""]",0,2,2
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\23_submission_package_builder.ipynb,23_submission_package_builder.ipynb,[],"[""kaggle""]",0,1,1
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\25_final_project_audit.ipynb,25_final_project_audit.ipynb,[],"[""kaggle""]",0,1,1
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\31_opponent_behavior_library.ipynb,31_opponent_behavior_library.ipynb,[],"[""kaggle""]",0,1,1
