page_number,text_character_count,text_layer_available,matched_cards,match_count,extraction_error_type,extraction_error_message
1,1219,True,[],0,,
2,1094,True,"[""Eevee""]",1,,
3,1078,True,[],0,,
4,1114,True,[],0,,
5,1085,True,"[""Eevee""]",1,,
6,1123,True,[],0,,
7,1084,True,[],0,,
8,1089,True,"[""Eevee""]",1,,
9,1196,True,[],0,,
10,1160,True,"[""Eevee""]",1,,
11,1191,True,[],0,,
12,1243,True,[],0,,
13,1241,True,[],0,,
14,1424,True,[],0,,
15,1209,True,"[""Meowth""]",1,,
16,1071,True,[],0,,
17,1065,True,[],0,,
18,1056,True,[],0,,
19,1060,True,[],0,,
20,1215,True,"[""Bulbasaur""]",1,,
21,1085,True,[],0,,
22,1072,True,[],0,,
23,1089,True,[],0,,
24,1075,True,"[""Charmander""]",1,,
25,1073,True,[],0,,
26,1080,True,[],0,,
27,1203,True,[],0,,
28,1187,True,[],0,,
29,1081,True,"[""Charmander""]",1,,
30,1117,True,[],0,,
31,1163,True,[],0,,
32,1116,True,[],0,,
33,1174,True,"[""Meowth""]",1,,
34,1303,True,[],0,,
35,1363,True,[],0,,
36,1292,True,[],0,,
37,1266,True,[],0,,
38,1267,True,[],0,,
39,555,True,[],0,,
40,15,True,[],0,,
41,15,True,[],0,,
42,15,True,[],0,,
43,15,True,[],0,,
44,15,True,[],0,,
45,15,True,[],0,,
46,15,True,[],0,,
47,15,True,[],0,,
48,15,True,[],0,,
49,15,True,[],0,,
50,15,True,[],0,,
51,15,True,[],0,,
52,15,True,[],0,,
53,15,True,[],0,,
54,15,True,[],0,,
55,15,True,[],0,,
56,15,True,[],0,,
57,15,True,[],0,,
58,15,True,[],0,,
59,15,True,[],0,,
60,15,True,[],0,,
61,15,True,[],0,,
62,15,True,[],0,,
63,15,True,[],0,,
64,15,True,[],0,,
65,15,True,[],0,,
66,15,True,[],0,,
67,15,True,[],0,,
68,15,True,[],0,,
69,15,True,[],0,,
70,15,True,[],0,,
71,15,True,[],0,,
72,15,True,[],0,,
73,15,True,[],0,,
74,15,True,[],0,,
75,15,True,[],0,,
76,15,True,[],0,,
77,15,True,[],0,,
78,15,True,[],0,,
79,15,True,[],0,,
80,15,True,[],0,,
81,15,True,[],0,,
82,15,True,[],0,,
83,15,True,[],0,,
84,15,True,[],0,,
85,15,True,[],0,,
86,15,True,[],0,,
87,15,True,[],0,,
88,15,True,[],0,,
89,15,True,[],0,,
90,15,True,[],0,,
91,15,True,[],0,,
92,15,True,[],0,,
93,15,True,[],0,,
94,15,True,[],0,,
95,15,True,[],0,,
96,15,True,[],0,,
97,15,True,[],0,,
98,15,True,[],0,,
99,15,True,[],0,,
100,15,True,[],0,,
101,15,True,[],0,,
102,15,True,[],0,,
103,15,True,[],0,,
104,15,True,[],0,,
105,15,True,[],0,,
106,15,True,[],0,,
107,15,True,[],0,,
108,15,True,[],0,,
109,15,True,[],0,,
110,15,True,[],0,,
111,15,True,[],0,,
112,15,True,[],0,,
113,15,True,[],0,,
114,15,True,[],0,,
115,15,True,[],0,,
116,15,True,[],0,,
117,15,True,[],0,,
118,15,True,[],0,,
119,15,True,[],0,,
120,15,True,[],0,,
121,15,True,[],0,,
122,15,True,[],0,,
123,15,True,[],0,,
124,15,True,[],0,,
125,15,True,[],0,,
126,15,True,[],0,,
127,15,True,[],0,,
128,15,True,[],0,,
129,15,True,[],0,,
130,15,True,[],0,,
131,15,True,[],0,,
132,15,True,[],0,,
133,15,True,[],0,,
134,15,True,[],0,,
135,15,True,[],0,,
136,15,True,[],0,,
137,15,True,[],0,,
138,15,True,[],0,,
139,15,True,[],0,,
140,15,True,[],0,,
141,15,True,[],0,,
142,15,True,[],0,,
143,15,True,[],0,,
144,15,True,[],0,,
145,15,True,[],0,,
146,15,True,[],0,,
147,15,True,[],0,,
148,15,True,[],0,,
149,15,True,[],0,,
150,15,True,[],0,,
151,15,True,[],0,,
152,15,True,[],0,,
153,15,True,[],0,,
154,15,True,[],0,,
155,15,True,[],0,,
156,15,True,[],0,,
157,15,True,[],0,,
158,15,True,[],0,,
159,15,True,[],0,,
160,15,True,[],0,,
161,15,True,[],0,,
162,15,True,[],0,,
163,15,True,[],0,,
164,15,True,[],0,,
165,15,True,[],0,,
166,15,True,[],0,,
167,15,True,[],0,,
168,15,True,[],0,,
169,15,True,[],0,,
170,15,True,[],0,,
171,15,True,[],0,,
172,15,True,[],0,,
173,15,True,[],0,,
174,15,True,[],0,,
175,15,True,[],0,,
176,15,True,[],0,,
177,15,True,[],0,,
178,15,True,[],0,,
179,15,True,[],0,,
180,15,True,[],0,,
181,15,True,[],0,,
182,15,True,[],0,,
183,15,True,[],0,,
184,15,True,[],0,,
185,15,True,[],0,,
186,15,True,[],0,,
187,15,True,[],0,,
188,15,True,[],0,,
189,15,True,[],0,,
190,15,True,[],0,,
191,15,True,[],0,,
192,15,True,[],0,,
193,15,True,[],0,,
194,15,True,[],0,,
195,15,True,[],0,,
196,15,True,[],0,,
197,15,True,[],0,,
198,15,True,[],0,,
199,15,True,[],0,,
200,15,True,[],0,,
201,15,True,[],0,,
202,15,True,[],0,,
203,15,True,[],0,,
204,15,True,[],0,,
205,15,True,[],0,,
206,15,True,[],0,,
207,15,True,[],0,,
208,15,True,[],0,,
209,15,True,[],0,,
210,15,True,[],0,,
211,15,True,[],0,,
212,15,True,[],0,,
213,15,True,[],0,,
214,15,True,[],0,,
215,15,True,[],0,,
216,15,True,[],0,,
217,15,True,[],0,,
218,15,True,[],0,,
219,15,True,[],0,,
220,15,True,[],0,,
221,15,True,[],0,,
222,15,True,[],0,,
223,15,True,[],0,,
224,15,True,[],0,,
225,15,True,[],0,,
226,15,True,[],0,,
227,15,True,[],0,,
228,15,True,[],0,,
229,15,True,[],0,,
230,15,True,[],0,,
231,15,True,[],0,,
232,15,True,[],0,,
233,15,True,[],0,,
234,15,True,[],0,,
235,15,True,[],0,,
236,15,True,[],0,,
237,15,True,[],0,,
238,15,True,[],0,,
239,15,True,[],0,,
240,15,True,[],0,,
241,15,True,[],0,,
242,15,True,[],0,,
243,15,True,[],0,,
244,15,True,[],0,,
245,15,True,[],0,,
246,15,True,[],0,,
247,15,True,[],0,,
248,15,True,[],0,,
249,15,True,[],0,,
250,15,True,[],0,,
251,15,True,[],0,,
252,15,True,[],0,,
253,15,True,[],0,,
254,15,True,[],0,,
255,15,True,[],0,,
256,15,True,[],0,,
257,15,True,[],0,,
258,15,True,[],0,,
259,15,True,[],0,,
260,15,True,[],0,,
261,15,True,[],0,,
262,15,True,[],0,,
263,15,True,[],0,,
264,15,True,[],0,,
265,15,True,[],0,,
266,15,True,[],0,,
267,15,True,[],0,,
268,15,True,[],0,,
269,15,True,[],0,,
270,15,True,[],0,,
271,15,True,[],0,,
272,15,True,[],0,,
273,15,True,[],0,,
274,15,True,[],0,,
275,15,True,[],0,,
276,15,True,[],0,,
277,15,True,[],0,,
278,15,True,[],0,,
279,15,True,[],0,,
280,15,True,[],0,,
281,15,True,[],0,,
282,15,True,[],0,,
283,15,True,[],0,,
284,15,True,[],0,,
285,15,True,[],0,,
286,15,True,[],0,,
287,15,True,[],0,,
288,15,True,[],0,,
289,15,True,[],0,,
290,15,True,[],0,,
291,15,True,[],0,,
292,15,True,[],0,,
293,15,True,[],0,,
294,15,True,[],0,,
295,15,True,[],0,,
296,15,True,[],0,,
297,15,True,[],0,,
298,15,True,[],0,,
299,15,True,[],0,,
300,15,True,[],0,,
301,15,True,[],0,,
302,15,True,[],0,,
303,15,True,[],0,,
304,15,True,[],0,,
305,15,True,[],0,,
306,15,True,[],0,,
307,15,True,[],0,,
308,15,True,[],0,,
309,15,True,[],0,,
310,15,True,[],0,,
311,15,True,[],0,,
312,15,True,[],0,,
313,15,True,[],0,,
314,15,True,[],0,,
315,15,True,[],0,,
316,15,True,[],0,,
317,15,True,[],0,,
318,15,True,[],0,,
319,15,True,[],0,,
320,15,True,[],0,,
321,15,True,[],0,,
322,15,True,[],0,,
323,15,True,[],0,,
324,15,True,[],0,,
325,15,True,[],0,,
326,15,True,[],0,,
327,15,True,[],0,,
328,15,True,[],0,,
329,15,True,[],0,,
330,15,True,[],0,,
331,15,True,[],0,,
332,15,True,[],0,,
333,15,True,[],0,,
334,15,True,[],0,,
335,15,True,[],0,,
336,15,True,[],0,,
337,15,True,[],0,,
338,15,True,[],0,,
339,15,True,[],0,,
340,15,True,[],0,,
341,15,True,[],0,,
342,15,True,[],0,,
343,15,True,[],0,,
344,15,True,[],0,,
345,15,True,[],0,,
346,15,True,[],0,,
347,15,True,[],0,,
348,15,True,[],0,,
349,15,True,[],0,,
350,15,True,[],0,,
351,15,True,[],0,,
352,15,True,[],0,,
353,15,True,[],0,,
354,15,True,[],0,,
355,15,True,[],0,,
356,15,True,[],0,,
