card_id,card_name,attack_order,attack_name,printed_damage,base_damage,variable_damage,energy_symbol_count,attack_effect_summary,normalized_attack_name,manual_review_source,ocr_used
650,Bulbasaur,1,Bind Down,10,10,False,1,Defending Pokémon cannot retreat during the opponent's next turn.,bind down,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
788,Charmander,1,Live Coal,20,20,False,1,,live coal,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
926,Charmander,1,Fire Claws,30,30,False,2,,fire claws,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
43,Eevee,1,Ascension,,0,False,1,Search the deck for a card that evolves from this Pokémon and evolve it.,ascension,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
43,Eevee,2,Quick Attack,20+,20,True,3,Coin flip may add 20 damage.,quick attack,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
145,Eevee,1,Colorful Catch,,0,False,1,Search for up to three Basic Energy cards of different types.,colorful catch,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
145,Eevee,2,Headbutt,20,20,False,2,,headbutt,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
249,Eevee,1,Coruscating Quartz,200,200,False,3,,coruscating quartz,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
317,Eevee,1,Reckless Charge,30,30,False,2,This Pokémon also does 10 damage to itself.,reckless charge,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
1071,Meowth,1,Tuck Tail,60,60,False,3,Return this Pokémon and all attached cards to the hand.,tuck tail,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_official_card_image_contact_sheet.png,False
