decision_number,turn_number,current_player,active_card,legal_moves,selected_move,raw_prediction,confidence,routing_reason,fallback_used,search_depth,nodes,scenario_id,condition_id,section4r_row_id,scenario_id_resolved,condition_id_resolved,turn_number_resolved,acting_side_resolved,active_card_resolved,legal_moves_resolved,selected_move_resolved,acting_energy_resolved,battle_phase_resolved,acting_damage_resolved,official_card_id,verified_printed_attacks,verified_printed_attack_count,legal_printed_attacks,legal_control_actions,legal_printed_attack_count,legal_control_action_count,genuine_multi_attack_state,printed_attack_plus_control_state,control_only_state
1,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE,0,T52_S001__BASELINE,BASELINE,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
2,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE,1,T52_S001__BASELINE,BASELINE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
3,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE,2,T52_S001__BASELINE,BASELINE,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
4,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE,3,T52_S001__BASELINE,BASELINE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
5,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE,4,T52_S001__BASELINE,BASELINE,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
6,6,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE,5,T52_S001__BASELINE,BASELINE,6,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
7,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__BASELINE,BASELINE,6,T52_S001__BASELINE,BASELINE,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
8,8,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.998,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__BASELINE,BASELINE,7,T52_S001__BASELINE,BASELINE,8,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
1,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE,8,T52_S001__HP_PRESSURE,HP_PRESSURE,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
2,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.984,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE,9,T52_S001__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
