section4r_row_id,scenario_id,condition_id,turn_number,acting_side,active_card,official_card_id,acting_energy,attack_name,normalized_attack_name,energy_requirement,energy_ready,action_legal,energy_ready_but_not_legal,legal_without_energy_ready,base_damage
0,T52_S001__BASELINE,BASELINE,1,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
1,T52_S001__BASELINE,BASELINE,2,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
1,T52_S001__BASELINE,BASELINE,2,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
2,T52_S001__BASELINE,BASELINE,3,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
3,T52_S001__BASELINE,BASELINE,4,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
3,T52_S001__BASELINE,BASELINE,4,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
4,T52_S001__BASELINE,BASELINE,5,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
5,T52_S001__BASELINE,BASELINE,6,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
5,T52_S001__BASELINE,BASELINE,6,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
6,T52_S001__BASELINE,BASELINE,7,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
7,T52_S001__BASELINE,BASELINE,8,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
7,T52_S001__BASELINE,BASELINE,8,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
8,T52_S001__HP_PRESSURE,HP_PRESSURE,1,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
9,T52_S001__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
9,T52_S001__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
10,T52_S001__HP_PRESSURE,HP_PRESSURE,3,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
