section4r_row_id,scenario_id,condition_id,turn_number,acting_side,active_card,attack_name,energy_requirement,observed_energy,energy_observed,energy_source,energy_status,energy_ready,action_legal,confirmed_energy_ready_but_not_legal,confirmed_legal_with_insufficient_energy,legal_with_unknown_energy
0,T52_S001__BASELINE,BASELINE,1,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
1,T52_S001__BASELINE,BASELINE,2,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
1,T52_S001__BASELINE,BASELINE,2,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
2,T52_S001__BASELINE,BASELINE,3,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
3,T52_S001__BASELINE,BASELINE,4,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
3,T52_S001__BASELINE,BASELINE,4,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
4,T52_S001__BASELINE,BASELINE,5,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
5,T52_S001__BASELINE,BASELINE,6,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
5,T52_S001__BASELINE,BASELINE,6,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
6,T52_S001__BASELINE,BASELINE,7,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
7,T52_S001__BASELINE,BASELINE,8,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
7,T52_S001__BASELINE,BASELINE,8,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
8,T52_S001__HP_PRESSURE,HP_PRESSURE,1,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
9,T52_S001__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
9,T52_S001__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
10,T52_S001__HP_PRESSURE,HP_PRESSURE,3,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
11,T52_S001__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
11,T52_S001__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
12,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
13,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
13,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
14,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
15,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
15,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
16,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
17,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
17,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
18,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
19,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
19,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
20,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
21,T52_S002__BASELINE,BASELINE,1,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
21,T52_S002__BASELINE,BASELINE,1,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
22,T52_S002__BASELINE,BASELINE,2,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
23,T52_S002__BASELINE,BASELINE,3,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
23,T52_S002__BASELINE,BASELINE,3,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
24,T52_S002__BASELINE,BASELINE,4,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
25,T52_S002__BASELINE,BASELINE,5,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
25,T52_S002__BASELINE,BASELINE,5,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
26,T52_S002__BASELINE,BASELINE,6,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
