symbol_name,exists,callable,object_type,module
notebook53_battle_runner_agent,True,False,LegalityAwareBattleRunnerAgent,notebook54_adapter_reconstruction
notebook53_policy,True,False,LegalityAwarePolicyAgent,notebook54_adapter_reconstruction
simulate_ai_battle,True,True,function,notebook54_simulator_runtime.battle_simulation
apply_move,True,True,function,notebook54_simulator_runtime.simulator
determine_battle_winner,True,True,function,notebook54_simulator_runtime.battle_simulation
create_battle_transcript,True,True,function,notebook54_simulator_runtime.battle_simulation
BattleState,True,True,type,notebook54_simulator_runtime.battle_state
PlayerState,True,True,type,notebook54_simulator_runtime.battle_state
PokemonState,True,True,type,notebook54_simulator_runtime.battle_state
AgentDecision,True,True,type,notebook54_simulator_runtime.agent_decision
create_initial_state,False,False,,
build_initial_state,False,False,,
create_battle_state,False,False,,
build_battle_state,False,False,,
extract_result_turns,False,False,,
extract_result_winner,False,False,,
extract_termination_reason,False,False,,
