column_index,column_name,dtype,nonmissing_values,unique_values,sample_values
0,scenario_number,int64,24,24,"[""1"", ""2"", ""3"", ""4"", ""5""]"
1,scenario_id,object,24,24,"[""T52_S001__BASELINE"", ""T52_S001__HP_PRESSURE"", ""T52_S001__ENERGY_PRESSURE"", ""T52_S002__BASELINE"", ""T52_S002__HP_PRESSURE""]"
2,condition_id,object,24,3,"[""BASELINE"", ""HP_PRESSURE"", ""ENERGY_PRESSURE"", ""BASELINE"", ""HP_PRESSURE""]"
3,player_card,object,24,4,"[""Bulbasaur"", ""Bulbasaur"", ""Bulbasaur"", ""Bulbasaur"", ""Bulbasaur""]"
4,opponent_card,object,24,3,"[""Eevee"", ""Eevee"", ""Eevee"", ""Eevee"", ""Eevee""]"
5,starting_side,object,24,2,"[""Player"", ""Player"", ""Player"", ""Opponent"", ""Opponent""]"
6,notebook52_winner,object,24,3,"[""Opponent"", ""Opponent"", ""Player"", ""Opponent"", ""Opponent""]"
7,notebook53_winner,object,24,3,"[""Opponent"", ""Opponent"", ""Player"", ""Opponent"", ""Opponent""]"
8,winner_matches,bool,24,1,"[""True"", ""True"", ""True"", ""True"", ""True""]"
9,notebook52_turns,int64,24,12,"[""8"", ""4"", ""9"", ""7"", ""3""]"
10,notebook53_turns,int64,24,12,"[""8"", ""4"", ""9"", ""7"", ""3""]"
11,turn_count_matches,bool,24,1,"[""True"", ""True"", ""True"", ""True"", ""True""]"
12,termination_reason,object,24,2,"[""Battle reached a terminal state."", ""Battle reached a terminal state."", ""Battle reached a terminal state."", ""Battle reached a terminal state."", ""Battle reached a terminal state.""]"
13,policy_decisions,int64,24,12,"[""8"", ""4"", ""9"", ""7"", ""3""]"
14,single_action_direct_decisions,int64,24,12,"[""4"", ""2"", ""9"", ""3"", ""1""]"
15,model_decisions,int64,24,5,"[""4"", ""2"", ""0"", ""4"", ""2""]"
16,selector_decisions,int64,24,1,"[""0"", ""0"", ""0"", ""0"", ""0""]"
17,fallback_decisions,int64,24,1,"[""0"", ""0"", ""0"", ""0"", ""0""]"
18,fallback_rate,float64,24,1,"[""0.0"", ""0.0"", ""0.0"", ""0.0"", ""0.0""]"
19,final_player_hp,float64,24,6,"[""0.0"", ""0.0"", ""80.0"", ""0.0"", ""0.0""]"
20,final_opponent_hp,float64,24,6,"[""10.0"", ""30.0"", ""0.0"", ""20.0"", ""40.0""]"
21,replay_success,bool,24,1,"[""True"", ""True"", ""True"", ""True"", ""True""]"
