acting_side,active_card,selected_move,selected_move_is_control_action,verified_energy_requirement,decisions,average_energy,minimum_energy,maximum_energy,energy_ready_actions,insufficient_energy_actions,average_confidence
Opponent,Bulbasaur,Bind Down,False,1.0,18,2.0,2.0,2.0,18,0,1.0
Opponent,Bulbasaur,Pass,True,0.0,20,0.0,0.0,0.0,0,0,1.0
Opponent,Charmander,Live Coal,False,1.0,5,1.0,1.0,1.0,5,0,1.0
Opponent,Charmander,Pass,True,0.0,10,0.0,0.0,0.0,0,0,1.0
Opponent,Eevee,Ascension,False,1.0,16,1.0,1.0,1.0,16,0,1.0
Opponent,Eevee,Quick Attack,False,2.0,23,3.0,3.0,3.0,23,0,0.9346086956521739
Player,Bulbasaur,Bind Down,False,1.0,22,3.0,3.0,3.0,22,0,1.0
Player,Charmander,Live Coal,False,1.0,15,3.0,3.0,3.0,15,0,1.0
Player,Eevee,Ascension,False,1.0,15,1.0,1.0,1.0,15,0,1.0
Player,Meowth,Tuck Tail,False,2.0,36,2.0,2.0,2.0,36,0,1.0
