scenario_id,condition_id,decision_number,turn_number,acting_side,opposing_side,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,acting_energy_observed,opposing_energy_observed,legal_moves,legal_move_count,selected_move,selected_move_is_legal,routing_reason,confidence,legal_move_source,policy_history_record_available,runner_decision_type,runner_depth_argument,instrumentation_sequence,defending_card,defending_energy,defending_energy_observed,acting_energy_attribute,defending_energy_attribute,selected_move_is_control_action,verified_energy_requirement,selected_attack_energy_ready,energy_validation_status,active_card,energy_observation_complete,printed_attack_selected,confirmed_legal_with_insufficient_energy,verified_energy_ready
T52_S001__BASELINE,BASELINE,1,1,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,1,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__BASELINE,BASELINE,2,2,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.868,POLICY_HISTORY,True,AgentDecision,0,2,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__BASELINE,BASELINE,3,3,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,3,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__BASELINE,BASELINE,4,4,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.868,POLICY_HISTORY,True,AgentDecision,0,4,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__BASELINE,BASELINE,5,5,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,5,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__BASELINE,BASELINE,6,6,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.978,POLICY_HISTORY,True,AgentDecision,0,6,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__BASELINE,BASELINE,7,7,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,7,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__BASELINE,BASELINE,8,8,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.992,POLICY_HISTORY,True,AgentDecision,0,8,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__HP_PRESSURE,HP_PRESSURE,1,1,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,9,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.978,POLICY_HISTORY,True,AgentDecision,0,10,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
