scenario_id,condition_id,average_confidence__opponent,average_confidence__player,average_legal_moves__opponent,average_legal_moves__player,decisions__opponent,decisions__player,forced_decisions__opponent,forced_decisions__player,genuine_choice_decisions__opponent,genuine_choice_decisions__player,maximum_legal_moves__opponent,maximum_legal_moves__player,genuine_choice_opportunity_gap
T52_S001__BASELINE,BASELINE,0.9265,1.0,2.0,1.0,4,4,0,4,4,0,2,1,4
T52_S002__BASELINE,BASELINE,0.9265,1.0,2.0,1.0,4,3,0,3,4,0,2,1,4
T52_S004__BASELINE,BASELINE,0.89,1.0,2.0,1.0,3,3,0,3,3,0,2,1,3
T52_S001__HP_PRESSURE,HP_PRESSURE,0.979,1.0,2.0,1.0,2,2,0,2,2,0,2,1,2
T52_S002__HP_PRESSURE,HP_PRESSURE,0.969,1.0,2.0,1.0,2,1,0,1,2,0,2,1,2
T52_S003__BASELINE,BASELINE,0.867,1.0,2.0,1.0,2,3,0,3,2,0,2,1,2
T52_S003__HP_PRESSURE,HP_PRESSURE,0.962,1.0,2.0,1.0,2,2,0,2,2,0,2,1,2
T52_S004__HP_PRESSURE,HP_PRESSURE,0.968,1.0,2.0,1.0,2,1,0,1,2,0,2,1,2
T52_S007__BASELINE,BASELINE,0.962,0.0,2.0,0.0,1,0,0,0,1,0,2,0,1
T52_S007__HP_PRESSURE,HP_PRESSURE,0.962,0.0,2.0,0.0,1,0,0,0,1,0,2,0,1
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,4,5,4,5,0,0,1,1,0
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,5,5,5,5,0,0,1,1,0
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,2,3,2,3,0,0,1,1,0
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,3,3,3,3,0,0,1,1,0
T52_S005__BASELINE,BASELINE,1.0,1.0,1.0,1.0,6,6,6,6,0,0,1,1,0
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,10,10,10,10,0,0,1,1,0
T52_S005__HP_PRESSURE,HP_PRESSURE,1.0,1.0,1.0,1.0,3,3,3,3,0,0,1,1,0
T52_S006__BASELINE,BASELINE,1.0,1.0,1.0,1.0,6,5,6,5,0,0,1,1,0
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,10,10,10,10,0,0,1,1,0
T52_S006__HP_PRESSURE,HP_PRESSURE,1.0,1.0,1.0,1.0,3,2,3,2,0,0,1,1,0
T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,2,2,2,2,0,0,1,1,0
T52_S008__BASELINE,BASELINE,1.0,1.0,1.0,1.0,3,3,3,3,0,0,1,1,0
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,1.0,1.0,1.0,1.0,10,10,10,10,0,0,1,1,0
T52_S008__HP_PRESSURE,HP_PRESSURE,1.0,1.0,1.0,1.0,2,2,2,2,0,0,1,1,0
