contract_component,component_name,required
comparison_metric,selected_move,True
comparison_metric,selected_move_is_legal,True
comparison_metric,selected_probability,True
comparison_metric,prediction_confidence,True
comparison_metric,routing_reason,True
comparison_metric,raw_predicted_action,True
comparison_metric,fallback_used,True
matched_state_field,acting_card,True
matched_state_field,opposing_card,True
matched_state_field,acting_hp,True
matched_state_field,opposing_hp,True
matched_state_field,acting_energy,True
matched_state_field,opposing_energy,True
matched_state_field,legal_moves,True
matched_state_field,legal_move_count,True
matched_state_field,source_turn_number,True
matched_state_field,source_condition_id,True
allowed_difference_field,evaluation_side,True
allowed_difference_field,case_role,True
allowed_difference_field,comparison_case_id,True
allowed_difference_field,side_swapped,True
