mirror_pair_id,comparison_case_id,case_role,evaluation_side,source_scenario_id,source_condition_id,source_decision_number,source_turn_number,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,legal_moves,legal_move_count,observed_selected_move,observed_confidence,side_swapped,state_context_preserved,ready_for_policy_evaluation
4WC_PAIR_001,4WC_PAIR_001__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S001__BASELINE,BASELINE,2,2,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,False,True,True
4WC_PAIR_001,4WC_PAIR_001__MIRRORED_PLAYER,MIRRORED,Player,T52_S001__BASELINE,BASELINE,2,2,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,True,True,True
4WC_PAIR_002,4WC_PAIR_002__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S001__BASELINE,BASELINE,4,4,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,False,True,True
4WC_PAIR_002,4WC_PAIR_002__MIRRORED_PLAYER,MIRRORED,Player,T52_S001__BASELINE,BASELINE,4,4,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,True,True,True
4WC_PAIR_003,4WC_PAIR_003__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S001__BASELINE,BASELINE,6,6,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,False,True,True
4WC_PAIR_003,4WC_PAIR_003__MIRRORED_PLAYER,MIRRORED,Player,T52_S001__BASELINE,BASELINE,6,6,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,True,True,True
4WC_PAIR_004,4WC_PAIR_004__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S001__BASELINE,BASELINE,8,8,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,False,True,True
4WC_PAIR_004,4WC_PAIR_004__MIRRORED_PLAYER,MIRRORED,Player,T52_S001__BASELINE,BASELINE,8,8,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,True,True,True
4WC_PAIR_005,4WC_PAIR_005__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,False,True,True
4WC_PAIR_005,4WC_PAIR_005__MIRRORED_PLAYER,MIRRORED,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,True,True,True
4WC_PAIR_006,4WC_PAIR_006__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,False,True,True
4WC_PAIR_006,4WC_PAIR_006__MIRRORED_PLAYER,MIRRORED,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,True,True,True
4WC_PAIR_007,4WC_PAIR_007__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__BASELINE,BASELINE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.852,False,True,True
4WC_PAIR_007,4WC_PAIR_007__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__BASELINE,BASELINE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.852,True,True,True
4WC_PAIR_008,4WC_PAIR_008__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__BASELINE,BASELINE,3,3,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.88,False,True,True
4WC_PAIR_008,4WC_PAIR_008__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__BASELINE,BASELINE,3,3,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.88,True,True,True
4WC_PAIR_009,4WC_PAIR_009__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__BASELINE,BASELINE,5,5,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,False,True,True
