column_order,column_name
1,mirror_pair_id
2,source_scenario_id
3,source_condition_id
4,source_turn_number
5,acting_card
6,opposing_card
7,acting_energy
8,opposing_energy
9,legal_moves
10,opponent_selected_move
11,player_selected_move
12,selected_move_agreement
13,opponent_confidence
14,player_confidence
15,confidence_difference_player_minus_opponent
16,opponent_routing_reason
17,player_routing_reason
18,routing_reason_agreement
19,opponent_move_legal
20,player_move_legal
21,legality_agreement
22,opponent_fallback_used
23,player_fallback_used
24,fallback_agreement
25,pair_valid
