source_scenario_id,source_condition_id,mirror_pairs,comparison_cases,minimum_turn,maximum_turn,average_confidence
T52_S001__BASELINE,BASELINE,4,8,2,8,0.9265
T52_S002__BASELINE,BASELINE,4,8,1,7,0.9265
T52_S004__BASELINE,BASELINE,3,6,1,5,0.89
T52_S001__HP_PRESSURE,HP_PRESSURE,2,4,2,4,0.979
T52_S002__HP_PRESSURE,HP_PRESSURE,2,4,1,3,0.969
T52_S003__BASELINE,BASELINE,2,4,2,4,0.867
T52_S003__HP_PRESSURE,HP_PRESSURE,2,4,2,4,0.962
T52_S004__HP_PRESSURE,HP_PRESSURE,2,4,1,3,0.968
T52_S007__BASELINE,BASELINE,1,2,1,1,0.962
T52_S007__HP_PRESSURE,HP_PRESSURE,1,2,1,1,0.962
