expanded_pair_id,comparison_case_id,evaluation_side,source_pair_id,source_scenario_id,source_condition_id,source_decision_number,source_turn_number,expansion_variant_id,evaluation_batch_number,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,expected_legal_moves,runtime_legal_moves,legal_move_sets_match,selected_move,selected_move_is_legal,selected_probability,prediction_confidence,routing_reason,raw_predicted_action,fallback_used,policy_history_record_available,acting_card_match,opposing_card_match,acting_energy_match,opposing_energy_match,case_execution_success,error_type,error_message
4WE_PAIR_001_V01,4WE_PAIR_001_V01__OPPONENT,Opponent,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_001_V01,4WE_PAIR_001_V01__PLAYER,Player,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_001_V02,4WE_PAIR_001_V02__OPPONENT,Opponent,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,80.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.838,0.838,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_001_V02,4WE_PAIR_001_V02__PLAYER,Player,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,MINIMUM_MULTI_ACTION_ENERGY,2,Eevee,Bulbasaur,50.0,80.0,2,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.84,0.84,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_001_V03,4WE_PAIR_001_V03__OPPONENT,Opponent,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,50.0,80.0,2,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.838,0.838,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_001_V03,4WE_PAIR_001_V03__PLAYER,Player,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,SYMMETRIC_TWO_ENERGY,4,Eevee,Bulbasaur,50.0,80.0,2,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.84,0.84,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_001_V04,4WE_PAIR_001_V04__OPPONENT,Opponent,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_001_V04,4WE_PAIR_001_V04__PLAYER,Player,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,2,EEVEE_ENERGY_ADVANTAGE,1,Eevee,Bulbasaur,50.0,80.0,3,2,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_002_V01,4WE_PAIR_002_V01__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WE_PAIR_002_V01,4WE_PAIR_002_V01__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,OBSERVED_ENERGY_CONTEXT,3,Eevee,Bulbasaur,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
