expanded_pair_id,comparison_case_id,evaluation_side,source_pair_id,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,acting_card,opposing_card,acting_energy,opposing_energy,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,target_probability_total,conditional_quick_attack_share,conditional_ascension_share,quick_attack_score_advantage,ascension_score_advantage,score_tie
4WE_PAIR_001_V02,4WE_PAIR_001_V02__OPPONENT,Opponent,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_001_V03,4WE_PAIR_001_V03__OPPONENT,Opponent,4WC_PAIR_001,T52_S001__BASELINE,BASELINE,2,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_002_V02,4WE_PAIR_002_V02__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_002_V03,4WE_PAIR_002_V03__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_008_V02,4WE_PAIR_008_V02__OPPONENT,Opponent,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_008_V03,4WE_PAIR_008_V03__OPPONENT,Opponent,4WC_PAIR_008,T52_S002__BASELINE,BASELINE,3,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_009_V02,4WE_PAIR_009_V02__OPPONENT,Opponent,4WC_PAIR_009,T52_S002__BASELINE,BASELINE,5,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_009_V03,4WE_PAIR_009_V03__OPPONENT,Opponent,4WC_PAIR_009,T52_S002__BASELINE,BASELINE,5,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_013_V02,4WE_PAIR_013_V02__OPPONENT,Opponent,4WC_PAIR_013,T52_S003__BASELINE,BASELINE,2,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Charmander,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_013_V03,4WE_PAIR_013_V03__OPPONENT,Opponent,4WC_PAIR_013,T52_S003__BASELINE,BASELINE,2,SYMMETRIC_TWO_ENERGY,Eevee,Charmander,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_014_V02,4WE_PAIR_014_V02__OPPONENT,Opponent,4WC_PAIR_014,T52_S003__BASELINE,BASELINE,4,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Charmander,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_014_V03,4WE_PAIR_014_V03__OPPONENT,Opponent,4WC_PAIR_014,T52_S003__BASELINE,BASELINE,4,SYMMETRIC_TWO_ENERGY,Eevee,Charmander,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_018_V02,4WE_PAIR_018_V02__OPPONENT,Opponent,4WC_PAIR_018,T52_S004__BASELINE,BASELINE,3,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Charmander,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_018_V03,4WE_PAIR_018_V03__OPPONENT,Opponent,4WC_PAIR_018,T52_S004__BASELINE,BASELINE,3,SYMMETRIC_TWO_ENERGY,Eevee,Charmander,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_019_V02,4WE_PAIR_019_V02__OPPONENT,Opponent,4WC_PAIR_019,T52_S004__BASELINE,BASELINE,5,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Charmander,2.0,3.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_019_V03,4WE_PAIR_019_V03__OPPONENT,Opponent,4WC_PAIR_019,T52_S004__BASELINE,BASELINE,5,SYMMETRIC_TWO_ENERGY,Eevee,Charmander,2.0,2.0,Quick Attack,0.706,0.196,0.51,0.9019999999999999,0.7827050997782705,0.2172949002217295,True,False,False
4WE_PAIR_007_V02,4WE_PAIR_007_V02__OPPONENT,Opponent,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Bulbasaur,2.0,3.0,Quick Attack,0.696,0.184,0.512,0.8799999999999999,0.7909090909090909,0.2090909090909091,True,False,False
4WE_PAIR_007_V03,4WE_PAIR_007_V03__OPPONENT,Opponent,4WC_PAIR_007,T52_S002__BASELINE,BASELINE,1,SYMMETRIC_TWO_ENERGY,Eevee,Bulbasaur,2.0,2.0,Quick Attack,0.696,0.184,0.512,0.8799999999999999,0.7909090909090909,0.2090909090909091,True,False,False
4WE_PAIR_017_V02,4WE_PAIR_017_V02__OPPONENT,Opponent,4WC_PAIR_017,T52_S004__BASELINE,BASELINE,1,MINIMUM_MULTI_ACTION_ENERGY,Eevee,Charmander,2.0,3.0,Quick Attack,0.696,0.184,0.512,0.8799999999999999,0.7909090909090909,0.2090909090909091,True,False,False
4WE_PAIR_017_V03,4WE_PAIR_017_V03__OPPONENT,Opponent,4WC_PAIR_017,T52_S004__BASELINE,BASELINE,1,SYMMETRIC_TWO_ENERGY,Eevee,Charmander,2.0,2.0,Quick Attack,0.696,0.184,0.512,0.8799999999999999,0.7909090909090909,0.2090909090909091,True,False,False
