dataframe_name,rows,label_column,nonmissing_labels,unique_labels,quick_attack_rows,ascension_rows,quick_attack_minus_ascension,target_label_rows,quick_attack_target_share,ascension_target_share
section4wf_case_results_df,184,selected_move,184,1,184,0,184,184,1.0,0.0
section4wg_case_df,184,selected_move,184,1,184,0,184,184,1.0,0.0
decision_analysis_df,210,selected_move,210,6,23,36,-13,59,0.3898305084745763,0.6101694915254238
decision_analysis_export_df,210,selected_move,210,6,23,36,-13,59,0.3898305084745763,0.6101694915254238
notebook53_policy_history_df,210,selected_move,210,6,23,36,-13,59,0.3898305084745763,0.6101694915254238
section4r_decision_df,210,selected_move,210,6,23,36,-13,59,0.3898305084745763,0.6101694915254238
section4s_decision_df,210,selected_move,210,6,23,36,-13,59,0.3898305084745763,0.6101694915254238
section4vb_energy_history_df,180,selected_move,180,6,23,31,-8,54,0.42592592592592593,0.5740740740740741
section4wa_decision_df,180,selected_move,180,6,23,31,-8,54,0.42592592592592593,0.5740740740740741
section4wb_decision_df,180,selected_move,180,6,23,31,-8,54,0.42592592592592593,0.5740740740740741
section4wc_decision_source_df,180,selected_move,180,6,23,31,-8,54,0.42592592592592593,0.5740740740740741
section4wd_case_results_df,46,selected_move,46,1,46,0,46,46,1.0,0.0
opponent_decisions_df,107,selected_move,107,5,23,16,7,39,0.5897435897435898,0.41025641025641024
opponent_controlled_opportunities_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
section2a_priority_decisions_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
section2a_priority_decisions_export_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
section2b_confidence_outcome_source_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
section4wa_model_choice_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
section4wb_multi_choice_breakdown_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
section4wc_observed_choice_source_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
section4wc_observed_context_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
strategic_opportunity_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
strategic_opportunity_export_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
strategic_root_cause_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
strategic_root_cause_export_df,23,selected_move,23,1,23,0,23,23,1.0,0.0
player_decisions_df,103,selected_move,103,4,0,20,-20,20,0.0,1.0
player_decisions_export_df,103,selected_move,103,4,0,20,-20,20,0.0,1.0
loss_opportunities_df,18,selected_move,18,1,18,0,18,18,1.0,0.0
section4wf_move_distribution_df,8,selected_move,8,1,8,0,8,8,1.0,0.0
section4wg_turn_move_profile_df,4,selected_move,4,1,4,0,4,4,1.0,0.0
section4wg_variant_move_profile_df,4,selected_move,4,1,4,0,4,4,1.0,0.0
test_instrumentation_df,8,selected_move,8,2,4,0,4,4,1.0,0.0
section4vb_energy_by_card_move_df,10,selected_move,10,6,1,2,-1,3,0.3333333333333333,0.6666666666666666
section4wa_move_distribution_df,9,selected_move,9,6,1,2,-1,3,0.3333333333333333,0.6666666666666666
pair_group,2,selected_move,2,1,2,0,2,2,1.0,0.0
section4wg_condition_move_profile_df,2,selected_move,2,1,2,0,2,2,1.0,0.0
section4wg_side_move_profile_df,2,selected_move,2,1,2,0,2,2,1.0,0.0
opponent_rows,1,selected_move,1,1,1,0,1,1,1.0,0.0
player_rows,1,selected_move,1,1,1,0,1,1,1.0,0.0
section2a_move_choice_summary_df,1,selected_move,1,1,1,0,1,1,1.0,0.0
section2b_prediction_selection_profile_df,1,selected_move,1,1,1,0,1,1,1.0,0.0
section2b_selected_move_profile_df,1,selected_move,1,1,1,0,1,1,1.0,0.0
section3a_player_legal_move_profile_df,4,selected_move,4,4,0,1,-1,1,0.0,1.0
section4wa_model_choice_summary_df,1,selected_move,1,1,1,0,1,1,1.0,0.0
section4wb_multi_choice_card_move_df,1,selected_move,1,1,1,0,1,1,1.0,0.0
section4wg_overall_move_profile_df,1,selected_move,1,1,1,0,1,1,1.0,0.0
