feature_group,transformed_features,total_importance,average_importance,maximum_importance
LEGAL_ACTION_FLAG,6,0.18986491348112483,0.031644152246854136,0.04799978307116283
LEGAL_MOVE_SIGNATURE,6,0.18747938539092782,0.031246564231821303,0.05628511779747432
LEGAL_CHOICE_STRUCTURE,4,0.13366198166018364,0.03341549541504591,0.038381307664202564
CARD_ACTION_COMPATIBILITY,6,0.12126606879561799,0.020211011465936332,0.036131694298422806
DAMAGE_STATE,9,0.10303941327256744,0.011448823696951937,0.024354377997722814
CARD_IDENTITY,8,0.09805103753046633,0.012256379691308291,0.03350559079955056
ENERGY_STATE,9,0.0705277181712022,0.007836413130133578,0.016018063730452087
OTHER,11,0.04663880045441978,0.0042398909504017986,0.014592530253661543
SIDE_ASSIGNMENT,4,0.03581755947817985,0.008954389869544962,0.01691480973098919
TURN_STATE,1,0.013653121765310292,0.013653121765310292,0.013653121765310292
