expanded_pair_id,comparison_case_id,evaluation_side,source_pair_id,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,acting_card,opposing_card,acting_energy,opposing_energy,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,target_probability_total,conditional_quick_attack_share,conditional_ascension_share,quick_attack_score_advantage,ascension_score_advantage,score_tie,energy_difference,score_margin_strength,global_top_feature,global_top_feature_importance,legal_signature_feature_flag
4WE_PAIR_005_V01,4WE_PAIR_005_V01__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_005_V04,4WE_PAIR_005_V04__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V01,4WE_PAIR_006_V01__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_006_V04,4WE_PAIR_006_V04__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_012_V01,4WE_PAIR_012_V01__PLAYER,Player,4WC_PAIR_012,T52_S002__HP_PRESSURE,HP_PRESSURE,3,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_012_V04,4WE_PAIR_012_V04__PLAYER,Player,4WC_PAIR_012,T52_S002__HP_PRESSURE,HP_PRESSURE,3,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.812,0.124,0.6880000000000001,0.936,0.8675213675213675,0.13247863247863248,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_022_V01,4WE_PAIR_022_V01__PLAYER,Player,4WC_PAIR_022,T52_S007__BASELINE,BASELINE,1,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.802,0.114,0.6880000000000001,0.916,0.8755458515283843,0.12445414847161572,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_022_V04,4WE_PAIR_022_V04__PLAYER,Player,4WC_PAIR_022,T52_S007__BASELINE,BASELINE,1,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.802,0.114,0.6880000000000001,0.916,0.8755458515283843,0.12445414847161572,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_023_V01,4WE_PAIR_023_V01__PLAYER,Player,4WC_PAIR_023,T52_S007__HP_PRESSURE,HP_PRESSURE,1,OBSERVED_ENERGY_CONTEXT,Eevee,Bulbasaur,3.0,3.0,Quick Attack,0.802,0.114,0.6880000000000001,0.916,0.8755458515283843,0.12445414847161572,True,False,False,0.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
4WE_PAIR_023_V04,4WE_PAIR_023_V04__PLAYER,Player,4WC_PAIR_023,T52_S007__HP_PRESSURE,HP_PRESSURE,1,EEVEE_ENERGY_ADVANTAGE,Eevee,Bulbasaur,3.0,2.0,Quick Attack,0.802,0.114,0.6880000000000001,0.916,0.8755458515283843,0.12445414847161572,True,False,False,1.0,STRONG_QUICK_ATTACK_ADVANTAGE,categorical__legal_move_signature_ascension,0.05628511779747432,True
