expanded_pair_id,comparison_case_id,evaluation_side,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,counterfactual_id,counterfactual_group,counterfactual_description,legal_moves,legal_move_signature,observed_turn_number,observed_acting_energy,observed_opposing_energy,observed_energy_difference,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,quick_attack_score_advantage,ascension_score_advantage,baseline_quick_attack_probability,baseline_ascension_probability,baseline_quick_attack_minus_ascension,baseline_predicted_action,quick_attack_probability_change,ascension_probability_change,score_margin_change,predicted_action_changed,ascension_overtook_quick_attack
4WE_PAIR_015_V04,4WE_PAIR_015_V04__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,2.0,1.0,Ascension,0.086,0.646,-0.56,False,True,0.81,0.126,0.684,Quick Attack,-0.7240000000000001,0.52,-1.2440000000000002,True,True
4WE_PAIR_016_V04,4WE_PAIR_016_V04__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,2.0,1.0,Ascension,0.086,0.646,-0.56,False,True,0.81,0.126,0.684,Quick Attack,-0.7240000000000001,0.52,-1.2440000000000002,True,True
4WE_PAIR_021_V04,4WE_PAIR_021_V04__PLAYER,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,3,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,2.0,1.0,Ascension,0.086,0.646,-0.56,False,True,0.81,0.126,0.684,Quick Attack,-0.7240000000000001,0.52,-1.2440000000000002,True,True
4WE_PAIR_005_V04,4WE_PAIR_005_V04__PLAYER,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,2,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,3.0,2.0,1.0,Ascension,0.088,0.644,-0.556,False,True,0.812,0.124,0.6880000000000001,Quick Attack,-0.7240000000000001,0.52,-1.2440000000000002,True,True
4WE_PAIR_006_V04,4WE_PAIR_006_V04__PLAYER,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,4,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,3.0,2.0,1.0,Ascension,0.088,0.644,-0.556,False,True,0.812,0.124,0.6880000000000001,Quick Attack,-0.7240000000000001,0.52,-1.2440000000000002,True,True
4WE_PAIR_012_V04,4WE_PAIR_012_V04__PLAYER,Player,T52_S002__HP_PRESSURE,HP_PRESSURE,3,EEVEE_ENERGY_ADVANTAGE,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,3.0,2.0,1.0,Ascension,0.088,0.644,-0.556,False,True,0.812,0.124,0.6880000000000001,Quick Attack,-0.7240000000000001,0.52,-1.2440000000000002,True,True
4WE_PAIR_015_V03,4WE_PAIR_015_V03__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,2.0,0.0,Ascension,0.076,0.662,-0.5860000000000001,False,True,0.796,0.142,0.654,Quick Attack,-0.7200000000000001,0.52,-1.2400000000000002,True,True
4WE_PAIR_016_V03,4WE_PAIR_016_V03__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,4,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,2.0,2.0,0.0,Ascension,0.076,0.662,-0.5860000000000001,False,True,0.796,0.142,0.654,Quick Attack,-0.7200000000000001,0.52,-1.2400000000000002,True,True
4WE_PAIR_021_V03,4WE_PAIR_021_V03__PLAYER,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,3,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,2.0,2.0,0.0,Ascension,0.076,0.662,-0.5860000000000001,False,True,0.796,0.142,0.654,Quick Attack,-0.7200000000000001,0.52,-1.2400000000000002,True,True
4WE_PAIR_005_V03,4WE_PAIR_005_V03__PLAYER,Player,T52_S001__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,2.0,0.0,Ascension,0.078,0.66,-0.5820000000000001,False,True,0.798,0.14,0.658,Quick Attack,-0.7200000000000001,0.52,-1.2400000000000002,True,True
