feature_index,feature_name,feature_family,remove_in_r1,remove_in_r2,remove_in_r3,retain_in_r0,retain_in_r1,retain_in_r2,retain_in_r3
0,numeric__turn_number,TURN_STATE,False,False,False,True,True,True,True
1,numeric__player_energy,ENERGY_STATE,False,False,False,True,True,True,True
2,numeric__opponent_energy,ENERGY_STATE,False,False,False,True,True,True,True
3,numeric__player_damage,DAMAGE_STATE,False,False,False,True,True,True,True
4,numeric__opponent_damage,DAMAGE_STATE,False,False,False,True,True,True,True
5,numeric__prize_cards_remaining,RESOURCE_STATE,False,False,False,True,True,True,True
6,numeric__hand_size,RESOURCE_STATE,False,False,False,True,True,True,True
7,numeric__recomputed_legal_move_count,LEGAL_CHOICE_STRUCTURE,False,False,False,True,True,True,True
8,numeric__acting_energy,ENERGY_STATE,False,False,False,True,True,True,True
9,numeric__defending_energy,ENERGY_STATE,False,False,False,True,True,True,True
10,numeric__energy_difference,ENERGY_STATE,False,False,False,True,True,True,True
11,numeric__absolute_energy_difference,ENERGY_STATE,False,False,False,True,True,True,True
12,numeric__acting_damage,DAMAGE_STATE,False,False,False,True,True,True,True
13,numeric__defending_damage,DAMAGE_STATE,False,False,False,True,True,True,True
14,numeric__damage_difference,DAMAGE_STATE,False,False,False,True,True,True,True
15,numeric__absolute_damage_difference,DAMAGE_STATE,False,False,False,True,True,True,True
16,numeric__single_legal_move_flag,LEGAL_CHOICE_STRUCTURE,False,False,False,True,True,True,True
17,numeric__multi_legal_move_flag,LEGAL_CHOICE_STRUCTURE,False,False,False,True,True,True,True
18,numeric__model_choice_required_flag,LEGAL_CHOICE_STRUCTURE,False,False,False,True,True,True,True
19,numeric__is_legal__ascension,LEGAL_ACTION_FLAG,False,False,True,True,True,True,False
20,numeric__is_legal__bind_down,LEGAL_ACTION_FLAG,False,False,True,True,True,True,False
21,numeric__is_legal__live_coal,LEGAL_ACTION_FLAG,False,False,True,True,True,True,False
22,numeric__is_legal__pass,LEGAL_ACTION_FLAG,False,False,True,True,True,True,False
23,numeric__is_legal__quick_attack,LEGAL_ACTION_FLAG,False,False,True,True,True,True,False
24,numeric__is_legal__tuck_tail,LEGAL_ACTION_FLAG,False,False,True,True,True,True,False
25,numeric__active_card_can_use__ascension,CARD_ACTION_COMPATIBILITY,False,True,True,True,True,False,False
26,numeric__active_card_can_use__bind_down,CARD_ACTION_COMPATIBILITY,False,True,True,True,True,False,False
27,numeric__active_card_can_use__live_coal,CARD_ACTION_COMPATIBILITY,False,True,True,True,True,False,False
28,numeric__active_card_can_use__pass,CARD_ACTION_COMPATIBILITY,False,True,True,True,True,False,False
29,numeric__active_card_can_use__quick_attack,CARD_ACTION_COMPATIBILITY,False,True,True,True,True,False,False
30,numeric__active_card_can_use__tuck_tail,CARD_ACTION_COMPATIBILITY,False,True,True,True,True,False,False
31,categorical__current_side_Opponent,SIDE_CONTEXT,False,False,False,True,True,True,True
32,categorical__current_side_Player,SIDE_CONTEXT,False,False,False,True,True,True,True
33,categorical__side_mode_FLIP,SIDE_CONTEXT,False,False,False,True,True,True,True
34,categorical__side_mode_PRESERVE,SIDE_CONTEXT,False,False,False,True,True,True,True
35,categorical__player_card_Bulbasaur,CARD_IDENTITY,False,False,False,True,True,True,True
36,categorical__player_card_Charmander,CARD_IDENTITY,False,False,False,True,True,True,True
37,categorical__player_card_Eevee,CARD_IDENTITY,False,False,False,True,True,True,True
38,categorical__player_card_Meowth,CARD_IDENTITY,False,False,False,True,True,True,True
39,categorical__opponent_card_Charmander,CARD_IDENTITY,False,False,False,True,True,True,True
40,categorical__opponent_card_Eevee,CARD_IDENTITY,False,False,False,True,True,True,True
41,categorical__active_card_Bulbasaur,CARD_IDENTITY,False,False,False,True,True,True,True
42,categorical__active_card_Charmander,CARD_IDENTITY,False,False,False,True,True,True,True
43,categorical__active_card_Eevee,CARD_IDENTITY,False,False,False,True,True,True,True
44,categorical__active_card_Meowth,CARD_IDENTITY,False,False,False,True,True,True,True
45,categorical__inactive_card_Bulbasaur,CARD_IDENTITY,False,False,False,True,True,True,True
46,categorical__inactive_card_Charmander,CARD_IDENTITY,False,False,False,True,True,True,True
47,categorical__inactive_card_Eevee,CARD_IDENTITY,False,False,False,True,True,True,True
48,categorical__inactive_card_Meowth,CARD_IDENTITY,False,False,False,True,True,True,True
49,categorical__legal_move_signature_ascension,LEGAL_MOVE_SIGNATURE,True,True,True,True,False,False,False
50,categorical__legal_move_signature_ascension | quick attack,LEGAL_MOVE_SIGNATURE,True,True,True,True,False,False,False
51,categorical__legal_move_signature_bind down,LEGAL_MOVE_SIGNATURE,True,True,True,True,False,False,False
52,categorical__legal_move_signature_live coal,LEGAL_MOVE_SIGNATURE,True,True,True,True,False,False,False
53,categorical__legal_move_signature_pass,LEGAL_MOVE_SIGNATURE,True,True,True,True,False,False,False
54,categorical__legal_move_signature_tuck tail,LEGAL_MOVE_SIGNATURE,True,True,True,True,False,False,False
55,categorical__battle_phase_EARLY,TURN_STATE,False,False,False,True,True,True,True
56,categorical__battle_phase_LATE,TURN_STATE,False,False,False,True,True,True,True
57,categorical__battle_phase_MID,TURN_STATE,False,False,False,True,True,True,True
58,categorical__energy_band_LOW,ENERGY_STATE,False,False,False,True,True,True,True
59,categorical__energy_band_READY,ENERGY_STATE,False,False,False,True,True,True,True
60,categorical__energy_band_ZERO,ENERGY_STATE,False,False,False,True,True,True,True
61,categorical__damage_band_HIGH_DAMAGE,DAMAGE_STATE,False,False,False,True,True,True,True
62,categorical__damage_band_LOW_DAMAGE,DAMAGE_STATE,False,False,False,True,True,True,True
63,categorical__damage_band_MEDIUM_DAMAGE,DAMAGE_STATE,False,False,False,True,True,True,True
