feature_family,feature_count,first_feature_index,last_feature_index,removed_in_r1,removed_in_r2,removed_in_r3,feature_share
CARD_IDENTITY,14,35,48,0,0,0,0.21875
DAMAGE_STATE,9,3,63,0,0,0,0.140625
ENERGY_STATE,9,1,60,0,0,0,0.140625
CARD_ACTION_COMPATIBILITY,6,25,30,0,6,6,0.09375
LEGAL_ACTION_FLAG,6,19,24,0,0,6,0.09375
LEGAL_MOVE_SIGNATURE,6,49,54,6,6,6,0.09375
LEGAL_CHOICE_STRUCTURE,4,7,18,0,0,0,0.0625
SIDE_CONTEXT,4,31,34,0,0,0,0.0625
TURN_STATE,4,0,57,0,0,0,0.0625
RESOURCE_STATE,2,5,6,0,0,0,0.03125
