split_name,label,rows,share
TRAIN,Ascension,336,0.4
TRAIN,Quick Attack,252,0.3
TRAIN,Pass,100,0.11904761904761904
TRAIN,Live Coal,70,0.08333333333333333
TRAIN,Bind Down,66,0.07857142857142857
TRAIN,Tuck Tail,16,0.01904761904761905
VALIDATION,Ascension,44,0.4
VALIDATION,Quick Attack,33,0.3
VALIDATION,Pass,13,0.11818181818181818
VALIDATION,Bind Down,12,0.10909090909090909
VALIDATION,Live Coal,6,0.05454545454545454
VALIDATION,Tuck Tail,2,0.01818181818181818
TEST,Ascension,44,0.4
TEST,Quick Attack,33,0.3
TEST,Bind Down,16,0.14545454545454545
TEST,Pass,12,0.10909090909090909
TEST,Live Coal,4,0.03636363636363636
TEST,Tuck Tail,1,0.00909090909090909
