strategy_id,class_name,precision,recall,f1_score,support
R0_CURRENT_BASELINE,Ascension,1.0,1.0,1.0,44.0
R0_CURRENT_BASELINE,Bind Down,1.0,1.0,1.0,16.0
R0_CURRENT_BASELINE,Live Coal,1.0,1.0,1.0,4.0
R0_CURRENT_BASELINE,Pass,1.0,1.0,1.0,12.0
R0_CURRENT_BASELINE,Quick Attack,1.0,1.0,1.0,33.0
R0_CURRENT_BASELINE,Tuck Tail,1.0,1.0,1.0,1.0
R0_CURRENT_BASELINE,macro avg,1.0,1.0,1.0,110.0
R0_CURRENT_BASELINE,weighted avg,1.0,1.0,1.0,110.0
R1_REMOVE_LEGAL_SIGNATURE,Ascension,1.0,1.0,1.0,44.0
R1_REMOVE_LEGAL_SIGNATURE,Bind Down,1.0,1.0,1.0,16.0
R1_REMOVE_LEGAL_SIGNATURE,Live Coal,1.0,1.0,1.0,4.0
R1_REMOVE_LEGAL_SIGNATURE,Pass,1.0,1.0,1.0,12.0
R1_REMOVE_LEGAL_SIGNATURE,Quick Attack,1.0,1.0,1.0,33.0
R1_REMOVE_LEGAL_SIGNATURE,Tuck Tail,1.0,1.0,1.0,1.0
R1_REMOVE_LEGAL_SIGNATURE,macro avg,1.0,1.0,1.0,110.0
R1_REMOVE_LEGAL_SIGNATURE,weighted avg,1.0,1.0,1.0,110.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Ascension,1.0,1.0,1.0,44.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Bind Down,1.0,1.0,1.0,16.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Live Coal,1.0,1.0,1.0,4.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,1.0,1.0,1.0,12.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,1.0,1.0,1.0,33.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,1.0,1.0,1.0,1.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,macro avg,1.0,1.0,1.0,110.0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,weighted avg,1.0,1.0,1.0,110.0
R3_STATE_CENTRIC_POLICY,Ascension,1.0,1.0,1.0,44.0
R3_STATE_CENTRIC_POLICY,Bind Down,1.0,1.0,1.0,16.0
R3_STATE_CENTRIC_POLICY,Live Coal,1.0,1.0,1.0,4.0
R3_STATE_CENTRIC_POLICY,Pass,1.0,1.0,1.0,12.0
R3_STATE_CENTRIC_POLICY,Quick Attack,1.0,1.0,1.0,33.0
R3_STATE_CENTRIC_POLICY,Tuck Tail,1.0,1.0,1.0,1.0
R3_STATE_CENTRIC_POLICY,macro avg,1.0,1.0,1.0,110.0
R3_STATE_CENTRIC_POLICY,weighted avg,1.0,1.0,1.0,110.0
