strategy_id,actual_label,predicted_label,count
R0_CURRENT_BASELINE,Ascension,Ascension,44
R0_CURRENT_BASELINE,Ascension,Bind Down,0
R0_CURRENT_BASELINE,Ascension,Live Coal,0
R0_CURRENT_BASELINE,Ascension,Pass,0
R0_CURRENT_BASELINE,Ascension,Quick Attack,0
R0_CURRENT_BASELINE,Ascension,Tuck Tail,0
R0_CURRENT_BASELINE,Bind Down,Ascension,0
R0_CURRENT_BASELINE,Bind Down,Bind Down,16
R0_CURRENT_BASELINE,Bind Down,Live Coal,0
R0_CURRENT_BASELINE,Bind Down,Pass,0
R0_CURRENT_BASELINE,Bind Down,Quick Attack,0
R0_CURRENT_BASELINE,Bind Down,Tuck Tail,0
R0_CURRENT_BASELINE,Live Coal,Ascension,0
R0_CURRENT_BASELINE,Live Coal,Bind Down,0
R0_CURRENT_BASELINE,Live Coal,Live Coal,4
R0_CURRENT_BASELINE,Live Coal,Pass,0
R0_CURRENT_BASELINE,Live Coal,Quick Attack,0
R0_CURRENT_BASELINE,Live Coal,Tuck Tail,0
R0_CURRENT_BASELINE,Pass,Ascension,0
R0_CURRENT_BASELINE,Pass,Bind Down,0
R0_CURRENT_BASELINE,Pass,Live Coal,0
R0_CURRENT_BASELINE,Pass,Pass,12
R0_CURRENT_BASELINE,Pass,Quick Attack,0
R0_CURRENT_BASELINE,Pass,Tuck Tail,0
R0_CURRENT_BASELINE,Quick Attack,Ascension,0
R0_CURRENT_BASELINE,Quick Attack,Bind Down,0
R0_CURRENT_BASELINE,Quick Attack,Live Coal,0
R0_CURRENT_BASELINE,Quick Attack,Pass,0
R0_CURRENT_BASELINE,Quick Attack,Quick Attack,33
R0_CURRENT_BASELINE,Quick Attack,Tuck Tail,0
R0_CURRENT_BASELINE,Tuck Tail,Ascension,0
R0_CURRENT_BASELINE,Tuck Tail,Bind Down,0
R0_CURRENT_BASELINE,Tuck Tail,Live Coal,0
R0_CURRENT_BASELINE,Tuck Tail,Pass,0
R0_CURRENT_BASELINE,Tuck Tail,Quick Attack,0
R0_CURRENT_BASELINE,Tuck Tail,Tuck Tail,1
R1_REMOVE_LEGAL_SIGNATURE,Ascension,Ascension,44
