strategy_id,retained_feature_count,split_name,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss
R0_CURRENT_BASELINE,64,TRAIN,840,1.0,1.0,1.0,1.0,2.220446049250313e-16
R0_CURRENT_BASELINE,64,VALIDATION,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
R0_CURRENT_BASELINE,64,TEST,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
R1_REMOVE_LEGAL_SIGNATURE,58,TRAIN,840,1.0,1.0,1.0,1.0,2.220446049250313e-16
R1_REMOVE_LEGAL_SIGNATURE,58,VALIDATION,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
R1_REMOVE_LEGAL_SIGNATURE,58,TEST,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,52,TRAIN,840,1.0,1.0,1.0,1.0,2.220446049250313e-16
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,52,VALIDATION,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,52,TEST,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
R3_STATE_CENTRIC_POLICY,46,TRAIN,840,1.0,1.0,1.0,1.0,2.220446049250313e-16
R3_STATE_CENTRIC_POLICY,46,VALIDATION,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
R3_STATE_CENTRIC_POLICY,46,TEST,110,1.0,1.0,1.0,1.0,2.220446049250313e-16
