comparison_case_id,source_scenario_id,evaluation_side,feature_name,reconstructed_value,saved_value
4WE_PAIR_001_V01__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_001_V01__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_001_V02__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_001_V02__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_001_V03__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_001_V03__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_001_V04__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_001_V04__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V01__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V01__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V02__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V02__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V03__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V03__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
