feature_name,nonmissing_numeric_rows,unique_numeric_values,quick_attack_drift_correlation,ascension_drift_correlation,maximum_absolute_correlation
acting_energy,184,2,0.9570722436475572,0.9231542762313449,0.9570722436475572
energy_difference,184,3,0.6767522735686111,0.6527686488045441,0.6767522735686111
player_energy,184,2,0.4785361218237783,0.45634680227300256,0.4785361218237783
opponent_energy,184,2,0.4785361218237783,0.46680747395834354,0.4785361218237783
damage_difference,184,3,-0.062080554820161934,-0.3123121520242443,0.3123121520242443
absolute_damage_difference,184,3,0.062080554820161934,0.3123121520242443,0.3123121520242443
defending_damage,184,5,0.03189972530698182,0.2701527972959009,0.2701527972959009
player_damage,184,5,0.008469583472712343,0.18936979429356318,0.18936979429356318
opponent_damage,184,5,0.008469583472712348,0.15944973847289232,0.15944973847289232
turn_number,184,8,0.05492948033741275,-0.05931881619911895,0.05931881619911895
acting_damage,184,2,-0.0464609516159051,0.052458792226806085,0.052458792226806085
absolute_energy_difference,184,2,0.0,0.0,0.0
defending_energy,184,2,0.0,0.0,0.0
prize_cards_remaining,184,1,,,
hand_size,184,1,,,
recomputed_legal_move_count,184,1,,,
single_legal_move_flag,184,1,,,
multi_legal_move_flag,184,1,,,
model_choice_required_flag,184,1,,,
is_legal__ascension,184,1,,,
is_legal__bind_down,184,1,,,
is_legal__live_coal,184,1,,,
is_legal__pass,184,1,,,
is_legal__quick_attack,184,1,,,
is_legal__tuck_tail,184,1,,,
active_card_can_use__ascension,184,1,,,
active_card_can_use__bind_down,184,1,,,
active_card_can_use__live_coal,184,1,,,
active_card_can_use__pass,184,1,,,
active_card_can_use__quick_attack,184,1,,,
active_card_can_use__tuck_tail,184,1,,,
