source_scenario_id,cases,mean_quick_attack_difference,maximum_quick_attack_difference,mean_ascension_difference,maximum_ascension_difference
T52_S001__HP_PRESSURE,16,0.15199999999999997,0.17199999999999993,0.0905,0.11
T52_S003__HP_PRESSURE,16,0.15199999999999997,0.17199999999999993,0.0905,0.11
T52_S002__HP_PRESSURE,16,0.14899999999999997,0.17199999999999993,0.08750000000000001,0.11
T52_S004__HP_PRESSURE,16,0.14899999999999997,0.17199999999999993,0.0875,0.11
T52_S001__BASELINE,32,0.14850000000000002,0.16200000000000003,0.0785,0.094
T52_S003__BASELINE,16,0.14800000000000002,0.16000000000000003,0.078,0.092
T52_S002__BASELINE,32,0.14700000000000002,0.16000000000000003,0.077,0.092
T52_S004__BASELINE,24,0.1466666666666667,0.16000000000000003,0.07666666666666666,0.092
T52_S007__BASELINE,8,0.14599999999999996,0.16599999999999993,0.085,0.10400000000000001
T52_S007__HP_PRESSURE,8,0.14599999999999996,0.16599999999999993,0.085,0.10400000000000001
