comparison_case_id,quick_attack_absolute_difference,ascension_absolute_difference,prediction_agreement
4WE_PAIR_001_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_001_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_001_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_001_V02__PLAYER,0.136,0.064,True
4WE_PAIR_001_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_001_V03__PLAYER,0.136,0.064,True
4WE_PAIR_001_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_001_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_002_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_002_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_002_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_002_V02__PLAYER,0.136,0.064,True
4WE_PAIR_002_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_002_V03__PLAYER,0.136,0.064,True
4WE_PAIR_002_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_002_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_003_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_003_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_003_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_003_V02__PLAYER,0.136,0.064,True
4WE_PAIR_003_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_003_V03__PLAYER,0.136,0.064,True
4WE_PAIR_003_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_003_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_004_V01__OPPONENT,0.16200000000000003,0.094,True
4WE_PAIR_004_V01__PLAYER,0.16200000000000003,0.092,True
4WE_PAIR_004_V02__OPPONENT,0.138,0.068,True
4WE_PAIR_004_V02__PLAYER,0.138,0.066,True
4WE_PAIR_004_V03__OPPONENT,0.138,0.068,True
4WE_PAIR_004_V03__PLAYER,0.138,0.066,True
4WE_PAIR_004_V04__OPPONENT,0.16200000000000003,0.094,True
