file_path,object_name,object_type,is_model_candidate,is_preprocessor_candidate,feature_count,model_object_hash,preprocessor_object_hash,importance_hash,feature_name_hash,load_error
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,X_train_encoded,csr_matrix,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,X_validation_encoded,csr_matrix,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,X_test_encoded,csr_matrix,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,y_train,Series,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,y_validation,Series,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,y_test,Series,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,encoded_feature_names,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,strategy_feature_indices,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,strategy_feature_names,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,baseline_estimator_parameters,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\artifacts\notebook55\section2d_frozen_training_split.joblib,split_manifest,DataFrame,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook50\final_side_balanced_policy.joblib,root_object,RandomForestClassifier,True,False,18.0,562f7ce465cc7225ad024505430f5c2a644204b92ec437d7fc77b248d3317670,,f25de1a9b53b179fcac0eb0342536e07b276aa7ba5ed2e99996a98aac27a70de,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook50\leakage_safe_preprocessor.joblib,root_object,ColumnTransformer,False,True,12.0,,875bb30d64c543181edabfe430faa671f9eac5ae1e3d6dd3cabdee67e108fb45,,226c622fa7b643a8d2e8a7d65582d39c5607fa73acb85db25ac06d75008abbc5,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook50\policy_label_encoder.joblib,root_object,LabelEncoder,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook53\legality_aware_preprocessor.joblib,root_object,ColumnTransformer,False,True,41.0,,a6324361e2b8beb2b0612d230d462103229db241a74bcfb6914e783688640c0e,,ed19227ab66911c5272f5491afa12ad529366b9d59f45990e866edc96c9c8a5a,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook53\legality_aware_random_forest.joblib,root_object,RandomForestClassifier,True,False,64.0,2547e6ae2057f893c60f824c5fb9a899da794bbdac4b621a14508b2957de1302,,b6a4c705fb6d2eef1f96c8d2a0f3a3bc148195569dfaf54641b648afd55fa7fa,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r0_current_baseline_model.joblib,strategy_id,str,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r0_current_baseline_model.joblib,model,RandomForestClassifier,True,False,64.0,e8de44956d37dfe84143e46eef62e9e28ecbb1d06317b07fd85d3f3b076a766d,,1d19d20e2cb5551bd5d3218cf9a841a4cb522eb2546ed643aa6aea331be4bf08,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r0_current_baseline_model.joblib,retained_feature_names,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r0_current_baseline_model.joblib,retained_feature_indices,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r0_current_baseline_model.joblib,training_results,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r1_remove_legal_signature_model.joblib,strategy_id,str,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r1_remove_legal_signature_model.joblib,model,RandomForestClassifier,True,False,58.0,5dff276bc1fe5bb5397ce902244ac0527852debde8a91634568fdc324a37ceaa,,aa50b2b2b4cf468272dcf3a1837cd03ad18213e358044d0f029922c2898b564a,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r1_remove_legal_signature_model.joblib,retained_feature_names,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r1_remove_legal_signature_model.joblib,retained_feature_indices,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r1_remove_legal_signature_model.joblib,training_results,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,strategy_id,str,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,model,RandomForestClassifier,True,False,52.0,ba647dcaaefe4f2b364008092513bc623cb4db30495bad71d0de7eb53d9af124,,a9ea1f6b79146a67f47a6273768a98070d3ec9399fe8be073726d5b916f5eca6,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,retained_feature_names,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,retained_feature_indices,list,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r2_remove_signature_and_compatibility_model.joblib,training_results,dict,False,False,,,,,,
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\models\notebook55\section3a_r3_state_centric_policy_model.joblib,strategy_id,str,False,False,,,,,,
