combination_id,model_name,preprocessor_name,signature_mode,valid,cases_scored,mean_quick_attack_difference,maximum_quick_attack_difference,mean_ascension_difference,maximum_ascension_difference,prediction_agreement_rate,error_message
CURRENT_BASELINE_MODEL || CURRENT_BASELINE_PREPROCESSOR || LOWER_CASE,CURRENT_BASELINE_MODEL,CURRENT_BASELINE_PREPROCESSOR,LOWER_CASE,True,184,0.14843478260869564,0.17199999999999993,0.08217391304347825,0.11,1.0,
CURRENT_BASELINE_MODEL || CURRENT_BASELINE_PREPROCESSOR || TITLE_CASE,CURRENT_BASELINE_MODEL,CURRENT_BASELINE_PREPROCESSOR,TITLE_CASE,True,184,0.0144782608695652,0.020000000000000018,0.02195652173913044,0.04000000000000001,1.0,
CURRENT_BASELINE_MODEL || legality_aware_preprocessor.joblib::root_object || LOWER_CASE,CURRENT_BASELINE_MODEL,legality_aware_preprocessor.joblib::root_object,LOWER_CASE,True,184,0.14843478260869564,0.17199999999999993,0.08217391304347825,0.11,1.0,
CURRENT_BASELINE_MODEL || legality_aware_preprocessor.joblib::root_object || TITLE_CASE,CURRENT_BASELINE_MODEL,legality_aware_preprocessor.joblib::root_object,TITLE_CASE,True,184,0.0144782608695652,0.020000000000000018,0.02195652173913044,0.04000000000000001,1.0,
legality_aware_random_forest.joblib::root_object || CURRENT_BASELINE_PREPROCESSOR || LOWER_CASE,legality_aware_random_forest.joblib::root_object,CURRENT_BASELINE_PREPROCESSOR,LOWER_CASE,True,184,0.14843478260869564,0.17199999999999993,0.08217391304347825,0.11,1.0,
legality_aware_random_forest.joblib::root_object || CURRENT_BASELINE_PREPROCESSOR || TITLE_CASE,legality_aware_random_forest.joblib::root_object,CURRENT_BASELINE_PREPROCESSOR,TITLE_CASE,True,184,0.0144782608695652,0.020000000000000018,0.02195652173913044,0.04000000000000001,1.0,
legality_aware_random_forest.joblib::root_object || legality_aware_preprocessor.joblib::root_object || LOWER_CASE,legality_aware_random_forest.joblib::root_object,legality_aware_preprocessor.joblib::root_object,LOWER_CASE,True,184,0.14843478260869564,0.17199999999999993,0.08217391304347825,0.11,1.0,
legality_aware_random_forest.joblib::root_object || legality_aware_preprocessor.joblib::root_object || TITLE_CASE,legality_aware_random_forest.joblib::root_object,legality_aware_preprocessor.joblib::root_object,TITLE_CASE,True,184,0.0144782608695652,0.020000000000000018,0.02195652173913044,0.04000000000000001,1.0,
section3a_r0_current_baseline_model.joblib::model || CURRENT_BASELINE_PREPROCESSOR || LOWER_CASE,section3a_r0_current_baseline_model.joblib::model,CURRENT_BASELINE_PREPROCESSOR,LOWER_CASE,True,184,0.1871304347826087,0.248,0.11380434782608696,0.16,1.0,
section3a_r0_current_baseline_model.joblib::model || CURRENT_BASELINE_PREPROCESSOR || TITLE_CASE,section3a_r0_current_baseline_model.joblib::model,CURRENT_BASELINE_PREPROCESSOR,TITLE_CASE,True,184,0.063,0.124,0.03456521739130435,0.07,1.0,
section3a_r0_current_baseline_model.joblib::model || legality_aware_preprocessor.joblib::root_object || LOWER_CASE,section3a_r0_current_baseline_model.joblib::model,legality_aware_preprocessor.joblib::root_object,LOWER_CASE,True,184,0.1871304347826087,0.248,0.11380434782608696,0.16,1.0,
section3a_r0_current_baseline_model.joblib::model || legality_aware_preprocessor.joblib::root_object || TITLE_CASE,section3a_r0_current_baseline_model.joblib::model,legality_aware_preprocessor.joblib::root_object,TITLE_CASE,True,184,0.063,0.124,0.03456521739130435,0.07,1.0,
