strategy_a,strategy_b,evaluation_side,cases,mean_maximum_case_difference,maximum_case_difference
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,PLAYER,92,0.10758695652173912,0.168
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,OPPONENT,92,0.10628260869565218,0.166
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,OPPONENT,92,0.07289130434782609,0.118
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,PLAYER,92,0.07195652173913045,0.118
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,PLAYER,92,0.0567608695652174,0.094
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,OPPONENT,92,0.05619565217391305,0.094
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,PLAYER,92,0.05469565217391306,0.07600000000000007
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,OPPONENT,92,0.05413043478260871,0.07600000000000007
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,PLAYER,92,0.03921739130434786,0.07800000000000007
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,OPPONENT,92,0.0369130434782609,0.07200000000000006
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,OPPONENT,92,0.021173913043478265,0.05199999999999999
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,PLAYER,92,0.019391304347826092,0.04799999999999999
