strategy_a,strategy_b,case_variant,cases,mean_maximum_case_difference,maximum_case_difference,mean_l1_case_difference
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,V03,46,0.1426521739130435,0.168,0.2888695652173913
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,V02,46,0.13669565217391305,0.162,0.27713043478260874
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,V03,46,0.11208695652173914,0.118,0.22643478260869565
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,V02,46,0.10956521739130434,0.11599999999999999,0.22026086956521743
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V03,46,0.07834782608695653,0.094,0.15895652173913047
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V02,46,0.07530434782608697,0.092,0.15286956521739134
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,V04,46,0.07491304347826087,0.11599999999999999,0.1577391304347826
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,V01,46,0.07347826086956522,0.11199999999999999,0.156
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,V03,46,0.06578260869565215,0.07600000000000007,0.1318260869565217
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,V02,46,0.06269565217391304,0.07599999999999996,0.12565217391304345
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,V04,46,0.04573913043478265,0.07800000000000007,0.0961739130434783
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,V04,46,0.04478260869565221,0.07200000000000006,0.09182608695652178
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,V01,46,0.04439130434782612,0.06800000000000006,0.09104347826086961
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,V01,46,0.0441739130434783,0.07400000000000007,0.0930434782608696
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V04,46,0.036652173913043484,0.05,0.0772173913043478
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V01,46,0.035608695652173915,0.05,0.07417391304347823
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V02,46,0.03469565217391305,0.05199999999999999,0.07165217391304345
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V03,46,0.03408695652173914,0.04999999999999999,0.07043478260869562
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,V01,46,0.03408695652173914,0.046,0.07078260869565214
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,V04,46,0.03395652173913044,0.046,0.07147826086956519
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,V03,46,0.032869565217391324,0.052000000000000046,0.068
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,V02,46,0.02947826086956524,0.04800000000000004,0.061217391304347835
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V04,46,0.0064347826086956555,0.013999999999999999,0.0151304347826087
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,V01,46,0.005913043478260871,0.011999999999999997,0.014086956521739134
