strategy_a,strategy_b,action,mean_probability_difference,median_probability_difference,maximum_probability_difference,std_probability_difference,cases_above_005,cases_above_010,cases_above_015
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Quick Attack,0.10056521739130435,0.10599999999999998,0.15000000000000002,0.03776624451746216,145,126,2
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Ascension,0.09967391304347828,0.096,0.168,0.04711528615041956,144,83,44
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Ascension,0.07131521739130435,0.07,0.118,0.04043551746644067,92,79,0
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Quick Attack,0.06268478260869563,0.06499999999999995,0.1060000000000001,0.033959512129640164,92,15,0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Ascension,0.054913043478260884,0.05,0.094,0.02674503292930136,111,0,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Quick Attack,0.05441304347826087,0.062000000000000055,0.07600000000000007,0.02078991821611841,135,0,0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,0.046152173913043486,0.04799999999999993,0.07399999999999995,0.01924721029057861,86,0,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Ascension,0.044760869565217395,0.045999999999999985,0.07400000000000001,0.020682574878183868,77,0,0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Quick Attack,0.03788043478260871,0.04600000000000004,0.07800000000000007,0.024554439247669407,65,0,0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Ascension,0.028641304347826094,0.02800000000000001,0.054000000000000006,0.018726917108419987,18,0,0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Ascension,0.019402173913043476,0.016000000000000007,0.05199999999999999,0.016861687845919588,2,0,0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Quick Attack,0.01868478260869564,0.014999999999999958,0.04800000000000004,0.016460380197829236,0,0,0
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Pass,0.012043478260869567,0.011999999999999997,0.04,0.0078766482657093,0,0,0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,0.009934782608695654,0.008,0.02,0.005834314437253191,0,0,0
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Pass,0.008717391304347826,0.006,0.02,0.006325115718062469,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Pass,0.007695652173913044,0.006,0.038,0.008987599101993114,0,0,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Pass,0.007652173913043478,0.004,0.032,0.008395696079861778,0,0,0
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Live Coal,0.003695652173913044,0.002,0.012,0.004353257477065388,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Live Coal,0.003695652173913044,0.002,0.012,0.004353257477065388,0,0,0
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Bind Down,0.0033913043478260864,0.006,0.006,0.0029743706741716643,0,0,0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Bind Down,0.0033913043478260864,0.006,0.006,0.0029743706741716643,0,0,0
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Bind Down,0.0033913043478260864,0.006,0.006,0.0029743706741716643,0,0,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Live Coal,0.002695652173913044,0.0,0.01,0.0036526914747144735,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Pass,0.0024782608695652175,0.002,0.006,0.002402346049311531,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Tuck Tail,0.0016956521739130434,0.002,0.004,0.0016664145997162434,0,0,0
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Tuck Tail,0.0011304347826086958,0.0,0.004,0.0012442685235873204,0,0,0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Live Coal,0.0011304347826086958,0.002,0.002,0.0009914568913905548,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Live Coal,0.0011304347826086958,0.002,0.002,0.0009914568913905548,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,0.0011304347826086958,0.002,0.002,0.0009914568913905548,0,0,0
R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,Tuck Tail,0.0005652173913043479,0.0,0.002,0.0009005354424873036,0,0,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Tuck Tail,0.0005652173913043479,0.0,0.002,0.0009005354424873036,0,0,0
R0_CURRENT_BASELINE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Tuck Tail,0.00028260869565217394,0.0,0.002,0.000696670450389655,0,0,0
R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,Live Coal,0.0,0.0,0.0,0.0,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,Bind Down,0.0,0.0,0.0,0.0,0,0,0
R1_REMOVE_LEGAL_SIGNATURE,R3_STATE_CENTRIC_POLICY,Bind Down,0.0,0.0,0.0,0.0,0,0,0
R2_REMOVE_SIGNATURE_AND_COMPATIBILITY,R3_STATE_CENTRIC_POLICY,Bind Down,0.0,0.0,0.0,0.0,0,0,0
