json_path,value,value_type
root.scheduled_matches,300,int
root.successful_matches,300,int
root.failed_matches,0,int
root.matches_per_baseline,100,int
root.competitive_wins,194,int
root.competitive_losses,106,int
root.draws,0,int
root.overall_win_rate,0.6466666666666666,float
root.elapsed_seconds,2.0785619999514893,float
root.matches_per_second,144.3305516058706,float
root.baseline_results[0].matches,100,int
root.baseline_results[0].competitive_wins,58,int
root.baseline_results[0].competitive_losses,42,int
root.baseline_results[0].draws,0,int
root.baseline_results[0].average_seconds,0.003741505003999919,float
root.baseline_results[0].win_rate,0.58,float
root.baseline_results[0].loss_rate,0.42,float
root.baseline_results[0].draw_rate,0.0,float
root.baseline_results[1].matches,100,int
root.baseline_results[1].competitive_wins,58,int
root.baseline_results[1].competitive_losses,42,int
root.baseline_results[1].draws,0,int
root.baseline_results[1].average_seconds,0.0012270470045041293,float
root.baseline_results[1].win_rate,0.58,float
root.baseline_results[1].loss_rate,0.42,float
root.baseline_results[1].draw_rate,0.0,float
root.baseline_results[2].matches,100,int
root.baseline_results[2].competitive_wins,78,int
root.baseline_results[2].competitive_losses,22,int
root.baseline_results[2].draws,0,int
root.baseline_results[2].average_seconds,0.001538944001076743,float
root.baseline_results[2].win_rate,0.78,float
root.baseline_results[2].loss_rate,0.22,float
root.baseline_results[2].draw_rate,0.0,float
root.side_results[0].baseline_name,Depth-6 Search Baseline,str
root.side_results[0].evaluated_agent_side,Opponent,str
root.side_results[0].matches,50,int
root.side_results[0].wins,16,int
root.side_results[0].losses,34,int
root.side_results[0].draws,0,int
root.side_results[0].score,0.32,float
root.side_results[0].average_turns,4.14,float
root.side_results[0].win_rate,0.32,float
root.side_results[1].baseline_name,Depth-6 Search Baseline,str
root.side_results[1].evaluated_agent_side,Player,str
root.side_results[1].matches,50,int
root.side_results[1].wins,42,int
root.side_results[1].losses,8,int
root.side_results[1].draws,0,int
root.side_results[1].score,0.84,float
root.side_results[1].average_turns,3.34,float
root.side_results[1].win_rate,0.84,float
root.side_results[2].baseline_name,Greedy Damage Baseline,str
root.side_results[2].evaluated_agent_side,Opponent,str
root.side_results[2].matches,50,int
root.side_results[2].wins,16,int
root.side_results[2].losses,34,int
root.side_results[2].draws,0,int
root.side_results[2].score,0.32,float
root.side_results[2].average_turns,3.18,float
root.side_results[2].win_rate,0.32,float
root.side_results[3].baseline_name,Greedy Damage Baseline,str
root.side_results[3].evaluated_agent_side,Player,str
root.side_results[3].matches,50,int
root.side_results[3].wins,42,int
root.side_results[3].losses,8,int
root.side_results[3].draws,0,int
root.side_results[3].score,0.84,float
root.side_results[3].average_turns,3.34,float
root.side_results[3].win_rate,0.84,float
root.side_results[4].baseline_name,Random Baseline,str
root.side_results[4].evaluated_agent_side,Opponent,str
root.side_results[4].matches,50,int
root.side_results[4].wins,32,int
root.side_results[4].losses,18,int
root.side_results[4].draws,0,int
root.side_results[4].score,0.64,float
root.side_results[4].average_turns,3.78,float
root.side_results[4].win_rate,0.64,float
root.side_results[5].baseline_name,Random Baseline,str
root.side_results[5].evaluated_agent_side,Player,str
root.side_results[5].matches,50,int
root.side_results[5].wins,46,int
root.side_results[5].losses,4,int
root.side_results[5].draws,0,int
root.side_results[5].score,0.92,float
root.side_results[5].average_turns,3.42,float
root.side_results[5].win_rate,0.92,float
