import,loaded,error
from __future__ import annotations,True,
import inspect,True,
import json,True,
import math,True,
import pickle,True,
import random,True,
import sys,True,
import time,True,
from pathlib import Path,True,
from typing import Any,True,
import numpy as np,True,
import pandas as pd,True,
import torch,False,ModuleNotFoundError: No module named 'torch'
import ast,True,
import importlib,True,
import inspect,True,
import json,True,
from pathlib import Path,True,
from typing import Any,True,
import pandas as pd,True,
import copy,True,
import dataclasses,True,
import inspect,True,
import json,True,
import random,True,
import time,True,
from dataclasses import dataclass,True,
from pathlib import Path,True,
from typing import Any,True,
import numpy as np,True,
import pandas as pd,True,
"from src.battle_agent import (
    PokemonBattleAgent,
)",True,
"from src.battle_simulation import (
    create_battle_transcript,
    simulate_ai_battle,
)",True,
"from src.battle_state import (
    BattleState,
    PlayerState,
    PokemonState,
)",True,
"from src.competitive.competitive_policy_agent import (
    CompetitivePolicyAgent,
)",False,ModuleNotFoundError: No module named 'torch'
"from src.legal_moves import (
    get_current_legal_moves,
)",True,
"from src.adapters import (
    current_player_adapter,
    evaluate_state_adapter,
    generate_moves_adapter,
    terminal_state_adapter,
)",True,
"from src.engine.advanced_search import (
    AdvancedSearchEngine,
)",True,
"from src.simulator import (
    apply_move,
)",True,
import dataclasses,True,
import json,True,
import math,True,
import random,True,
import time,True,
from collections import defaultdict,True,
from typing import Any,True,
import numpy as np,True,
import pandas as pd,True,
import json,True,
import math,True,
from collections import defaultdict,True,
from typing import Any,True,
import numpy as np,True,
import pandas as pd,True,
import json,True,
import math,True,
from pathlib import Path,True,
from typing import Any,True,
import pandas as pd,True,
