match_id,baseline_name,evaluated_agent_side,starting_side,player_card,opponent_card
1,Random Baseline,Player,Player,Pikachu,Charmander
2,Random Baseline,Opponent,Player,Charmander,Eevee
3,Random Baseline,Player,Opponent,Squirtle,Charmander
4,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
5,Random Baseline,Player,Player,Eevee,Charmander
6,Random Baseline,Opponent,Player,Meowth,Eevee
7,Random Baseline,Player,Opponent,Pikachu,Charmander
8,Random Baseline,Opponent,Opponent,Charmander,Eevee
9,Random Baseline,Player,Player,Squirtle,Charmander
10,Random Baseline,Opponent,Player,Bulbasaur,Eevee
11,Random Baseline,Player,Opponent,Eevee,Charmander
12,Random Baseline,Opponent,Opponent,Meowth,Eevee
13,Random Baseline,Player,Player,Pikachu,Charmander
14,Random Baseline,Opponent,Player,Charmander,Eevee
15,Random Baseline,Player,Opponent,Squirtle,Charmander
16,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
17,Random Baseline,Player,Player,Eevee,Charmander
18,Random Baseline,Opponent,Player,Meowth,Eevee
19,Random Baseline,Player,Opponent,Pikachu,Charmander
20,Random Baseline,Opponent,Opponent,Charmander,Eevee
21,Random Baseline,Player,Player,Squirtle,Charmander
22,Random Baseline,Opponent,Player,Bulbasaur,Eevee
23,Random Baseline,Player,Opponent,Eevee,Charmander
24,Random Baseline,Opponent,Opponent,Meowth,Eevee
25,Random Baseline,Player,Player,Pikachu,Charmander
26,Random Baseline,Opponent,Player,Charmander,Eevee
27,Random Baseline,Player,Opponent,Squirtle,Charmander
28,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
29,Random Baseline,Player,Player,Eevee,Charmander
30,Random Baseline,Opponent,Player,Meowth,Eevee
31,Random Baseline,Player,Opponent,Pikachu,Charmander
32,Random Baseline,Opponent,Opponent,Charmander,Eevee
33,Random Baseline,Player,Player,Squirtle,Charmander
34,Random Baseline,Opponent,Player,Bulbasaur,Eevee
35,Random Baseline,Player,Opponent,Eevee,Charmander
36,Random Baseline,Opponent,Opponent,Meowth,Eevee
37,Random Baseline,Player,Player,Pikachu,Charmander
38,Random Baseline,Opponent,Player,Charmander,Eevee
39,Random Baseline,Player,Opponent,Squirtle,Charmander
40,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
41,Random Baseline,Player,Player,Eevee,Charmander
42,Random Baseline,Opponent,Player,Meowth,Eevee
43,Random Baseline,Player,Opponent,Pikachu,Charmander
44,Random Baseline,Opponent,Opponent,Charmander,Eevee
45,Random Baseline,Player,Player,Squirtle,Charmander
46,Random Baseline,Opponent,Player,Bulbasaur,Eevee
47,Random Baseline,Player,Opponent,Eevee,Charmander
48,Random Baseline,Opponent,Opponent,Meowth,Eevee
49,Random Baseline,Player,Player,Pikachu,Charmander
50,Random Baseline,Opponent,Player,Charmander,Eevee
51,Random Baseline,Player,Opponent,Squirtle,Charmander
52,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
53,Random Baseline,Player,Player,Eevee,Charmander
54,Random Baseline,Opponent,Player,Meowth,Eevee
55,Random Baseline,Player,Opponent,Pikachu,Charmander
56,Random Baseline,Opponent,Opponent,Charmander,Eevee
57,Random Baseline,Player,Player,Squirtle,Charmander
58,Random Baseline,Opponent,Player,Bulbasaur,Eevee
59,Random Baseline,Player,Opponent,Eevee,Charmander
60,Random Baseline,Opponent,Opponent,Meowth,Eevee
61,Random Baseline,Player,Player,Pikachu,Charmander
62,Random Baseline,Opponent,Player,Charmander,Eevee
63,Random Baseline,Player,Opponent,Squirtle,Charmander
64,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
65,Random Baseline,Player,Player,Eevee,Charmander
66,Random Baseline,Opponent,Player,Meowth,Eevee
67,Random Baseline,Player,Opponent,Pikachu,Charmander
68,Random Baseline,Opponent,Opponent,Charmander,Eevee
69,Random Baseline,Player,Player,Squirtle,Charmander
70,Random Baseline,Opponent,Player,Bulbasaur,Eevee
71,Random Baseline,Player,Opponent,Eevee,Charmander
72,Random Baseline,Opponent,Opponent,Meowth,Eevee
73,Random Baseline,Player,Player,Pikachu,Charmander
74,Random Baseline,Opponent,Player,Charmander,Eevee
75,Random Baseline,Player,Opponent,Squirtle,Charmander
76,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
77,Random Baseline,Player,Player,Eevee,Charmander
78,Random Baseline,Opponent,Player,Meowth,Eevee
79,Random Baseline,Player,Opponent,Pikachu,Charmander
80,Random Baseline,Opponent,Opponent,Charmander,Eevee
81,Random Baseline,Player,Player,Squirtle,Charmander
82,Random Baseline,Opponent,Player,Bulbasaur,Eevee
83,Random Baseline,Player,Opponent,Eevee,Charmander
84,Random Baseline,Opponent,Opponent,Meowth,Eevee
85,Random Baseline,Player,Player,Pikachu,Charmander
86,Random Baseline,Opponent,Player,Charmander,Eevee
87,Random Baseline,Player,Opponent,Squirtle,Charmander
88,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
89,Random Baseline,Player,Player,Eevee,Charmander
90,Random Baseline,Opponent,Player,Meowth,Eevee
91,Random Baseline,Player,Opponent,Pikachu,Charmander
92,Random Baseline,Opponent,Opponent,Charmander,Eevee
93,Random Baseline,Player,Player,Squirtle,Charmander
94,Random Baseline,Opponent,Player,Bulbasaur,Eevee
95,Random Baseline,Player,Opponent,Eevee,Charmander
96,Random Baseline,Opponent,Opponent,Meowth,Eevee
97,Random Baseline,Player,Player,Pikachu,Charmander
98,Random Baseline,Opponent,Player,Charmander,Eevee
99,Random Baseline,Player,Opponent,Squirtle,Charmander
100,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee
101,Greedy Damage Baseline,Player,Player,Pikachu,Charmander
102,Greedy Damage Baseline,Opponent,Player,Charmander,Eevee
103,Greedy Damage Baseline,Player,Opponent,Squirtle,Charmander
104,Greedy Damage Baseline,Opponent,Opponent,Bulbasaur,Eevee
105,Greedy Damage Baseline,Player,Player,Eevee,Charmander
106,Greedy Damage Baseline,Opponent,Player,Meowth,Eevee
107,Greedy Damage Baseline,Player,Opponent,Pikachu,Charmander
108,Greedy Damage Baseline,Opponent,Opponent,Charmander,Eevee
109,Greedy Damage Baseline,Player,Player,Squirtle,Charmander
110,Greedy Damage Baseline,Opponent,Player,Bulbasaur,Eevee
111,Greedy Damage Baseline,Player,Opponent,Eevee,Charmander
112,Greedy Damage Baseline,Opponent,Opponent,Meowth,Eevee
113,Greedy Damage Baseline,Player,Player,Pikachu,Charmander
114,Greedy Damage Baseline,Opponent,Player,Charmander,Eevee
115,Greedy Damage Baseline,Player,Opponent,Squirtle,Charmander
116,Greedy Damage Baseline,Opponent,Opponent,Bulbasaur,Eevee
117,Greedy Damage Baseline,Player,Player,Eevee,Charmander
