match_id,baseline_name,evaluated_agent_side,starting_side,player_card,opponent_card,baseline_type,result_type,winner,evaluated_outcome,evaluated_win,evaluated_loss,evaluated_draw,turns,score,completed,error
1,Random Baseline,Player,Player,Pikachu,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Player,Win,1,0,0,3,,True,
2,Random Baseline,Opponent,Player,Charmander,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Player,Loss,0,1,0,3,,True,
3,Random Baseline,Player,Opponent,Squirtle,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Player,Win,1,0,0,4,,True,
4,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Player,Loss,0,1,0,4,,True,
5,Random Baseline,Player,Player,Eevee,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Player,Win,1,0,0,5,,True,
6,Random Baseline,Opponent,Player,Meowth,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Player,Loss,0,1,0,3,,True,
7,Random Baseline,Player,Opponent,Pikachu,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Player,Win,1,0,0,4,,True,
8,Random Baseline,Opponent,Opponent,Charmander,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Opponent,Win,1,0,0,3,,True,
9,Random Baseline,Player,Player,Squirtle,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Player,Win,1,0,0,3,,True,
10,Random Baseline,Opponent,Player,Bulbasaur,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Player,Loss,0,1,0,3,,True,
11,Random Baseline,Player,Opponent,Eevee,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Opponent,Loss,0,1,0,3,,True,
12,Random Baseline,Opponent,Opponent,Meowth,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Opponent,Win,1,0,0,3,,True,
13,Random Baseline,Player,Player,Pikachu,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Player,Win,1,0,0,3,,True,
14,Random Baseline,Opponent,Player,Charmander,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Opponent,Win,1,0,0,4,,True,
15,Random Baseline,Player,Opponent,Squirtle,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Player,Win,1,0,0,4,,True,
16,Random Baseline,Opponent,Opponent,Bulbasaur,Eevee,RandomLegalMoveAgent,TournamentMatchResult,Opponent,Win,1,0,0,5,,True,
17,Random Baseline,Player,Player,Eevee,Charmander,RandomLegalMoveAgent,TournamentMatchResult,Opponent,Loss,0,1,0,4,,True,
